;mean;std
31;0.2327024242588202;0.18145888813491678
30;0.20441514576386233;0.18025868776510134
29;0.23457393935167892;0.1792029126962022
28;0.20463262658467435;0.17855737131315963
27;0.2226332623964016;0.1778557359408458
26;0.25985610660819103;0.17566059931753308
25;0.2526576147410523;0.17992340469417642
24;0.24178444840144628;0.1814348673949526
23;0.2872524693477542;0.17769851686179516
22;0.29473973789868135;0.1788432297665577
21;0.28828444787595486;0.17408302868055162
20;0.28379629036816606;0.1839127611333087
19;0.250986451230039;0.18194788013927293
18;0.26454285099806635;0.17779138833727226
17;0.2638507734850198;0.17653084330976243
16;0.26411592129074934;0.18762193679930758
15;0.23215770832983698;0.18095142447846763
14;0.25193965631781984;0.1739213943626333
13;0.2595963449216074;0.17179062758139163
12;0.24594492760750827;0.1776471520358059
11;0.2529254397888834;0.17877144749837492
10;0.2325658783736775;0.16991806617190316
9;0.2454050898854273;0.15994535207802069
8;0.27379530047873474;0.16746659223372298
7;0.2697831473014358;0.17613301604987228
6;0.22564645326448413;0.17398715222523992
5;0.2992670822580942;0.16946160205007413
4;0.24319375891319023;0.1823104586130307
3;0.3146715070695093;0.16819889499484286
2;0.22694322170224884;0.19454559677244362
1;0.26978361614696683;0.17931449593070933
0;0.16506352303601918;0.20166290593667718
