;mean;std
31;0.2092293624072338;0.167534292355533
30;0.17188832948031385;0.18203059817935335
29;0.21432275516120766;0.16311186645848674
28;0.17742724499441948;0.16258765821307763
27;0.18553383177847135;0.17501330711114982
26;0.22774245664593767;0.16496924492017384
25;0.219113659062005;0.16954100947998638
24;0.20691243630582382;0.17761448596128776
23;0.2481520403490352;0.16504374255343374
22;0.25255857038689083;0.16012816557433165
21;0.242947288348379;0.1696506285597479
20;0.24031581700857155;0.1743529857307806
19;0.2090291495490522;0.17635965840116208
18;0.22153086771650152;0.1780710706585348
17;0.228413312089369;0.15471668993636384
16;0.21981548290148917;0.1732301246596409
15;0.19845710527387816;0.1589671900152157
14;0.2180976768734406;0.16364248904396908
13;0.214792660285801;0.1547306613686261
12;0.20572285244228572;0.1571214475199094
11;0.21517891771172656;0.15734610263008175
10;0.20216512337461418;0.15126382738186964
9;0.2126994602834711;0.14829031543922996
8;0.22995992940833815;0.15678352452377164
7;0.22239076970169522;0.17665521352206887
6;0.1880090152988413;0.15620543759119623
5;0.25100428223628274;0.17087250641473098
4;0.20612855509913472;0.16420090733654533
3;0.27398699688584033;0.1566106080200368
2;0.18947109352720973;0.17262513982794744
1;0.22708615808016572;0.16075052309179447
0;0.13798973064307538;0.17884987668644867
