;mean;std
31;0.22421421602822447;0.1798466319465363
30;0.20075117995540162;0.18732041248721268
29;0.22494588008619756;0.18433712221826018
28;0.19578509235031075;0.1838862490378367
27;0.20941742767317542;0.18212445071432073
26;0.2513503371429814;0.17591928631335005
25;0.23307321027433672;0.17786504498396044
24;0.2297736189140755;0.17880665515480626
23;0.27483787922803077;0.17547796413748157
22;0.27907670839252785;0.17854779437730478
21;0.26840393954021596;0.17646473865428414
20;0.2748834549253161;0.1757120485589421
19;0.23751358747858659;0.17948943828282862
18;0.24271607721160587;0.1874028050877421
17;0.24448047117365795;0.17218261965296877
16;0.23883010854709774;0.18470943575004728
15;0.21254701861235814;0.18460762172439224
14;0.23566096662423736;0.17189617542670227
13;0.24195384979413564;0.1719494379003878
12;0.23423617783616815;0.18130906166167357
11;0.23723824649519318;0.176935116239176
10;0.22241307230211682;0.17391006146921115
9;0.22960562412014546;0.16688456076279803
8;0.2533967346988206;0.1810910286061489
7;0.2572703337991479;0.18323408023305296
6;0.2185608729594903;0.17636871785116212
5;0.29065130726119953;0.17733957101045153
4;0.2352480851040113;0.1849322231757278
3;0.3090220412622174;0.16635177809015195
2;0.2261388620976372;0.19511304604770516
1;0.26001462236801043;0.17579155781793945
0;0.13859444115397165;0.2050750285625485
