text;attention
I'd;0.07575345780412963
be;0.037285055143352605
glad;0.035477569951937266
to;0.036204599418755534
help!;0.06314288763857062
What;0.0411601619000842
is;0.03538098808834541
your;0.03837616901133433
project;0.03677934227301788
about?;0.06638456674472187
If;0.03876195951982449
you;0.035240242231508886
don't;0.0481461314167481
know;0.0357081661461151
yet,;0.04206323401549571
maybe;0.03420702682585992
I;0.0338872980273738
can;0.03399890540212054
help;0.03548604533566341
you;0.03243638002086716
find;0.03407701140356236
a;0.03194942991560325
topic;0.034606764317557846
to;0.031511871288674956
cover.;0.03197473615877524
