;mean;std
31;0.12798059968903383;0.22018755914964355
30;0.1815850392312753;0.1985133612697794
29;0.13368055229632886;0.20993557500389465
28;0.1429331338633951;0.19811900308104416
27;0.16998773608224793;0.2074083359068362
26;0.18649108968828915;0.19629169729551446
25;0.15940956125840075;0.21217698757570583
24;0.1877338758943716;0.20887481803956368
23;0.23200964901710927;0.20655955548016106
22;0.1990477190958097;0.19848722460121435
21;0.20886802459705447;0.21275369252222617
20;0.20280622824259786;0.206667174865299
19;0.2282451865991951;0.19243215703176536
18;0.21794234926313477;0.1995669152602614
17;0.19428653924212302;0.21164933926106477
16;0.186408954619781;0.20853337816057427
15;0.1739328544095973;0.21445951615267556
14;0.1788164974712246;0.2038201583310404
13;0.16023147943869268;0.20489262010822581
12;0.170632818137734;0.2041331950772444
11;0.15574193840669515;0.20540206703330163
10;0.15560330441407666;0.20319037607915175
9;0.19134474163122037;0.20597860993890735
8;0.15286896588835827;0.1947054044125063
7;0.15521559287288259;0.20655682481136323
6;0.14274312927326924;0.210787077458653
5;0.15779846970580577;0.21560589622531492
4;0.19693977420241918;0.21248641850765115
3;0.12561811641729986;0.22292079685497626
2;0.1808409651373479;0.20465214156084904
1;0.005645520829953432;0.22477418175113537
0;0.029848609791283422;0.22462381486043476
