;mean;std
31;0.13059811284458644;0.20241229424115134
30;0.17649150004190584;0.2197937537858609
29;0.14459875918105464;0.19874337447916587
28;0.14227605371672353;0.21833130399724576
27;0.1678246744671361;0.21220297956165307
26;0.1800613028445263;0.22060625279845628
25;0.15624246838418065;0.22578200008104782
24;0.18033702821496236;0.22066598688308614
23;0.22606498830901797;0.19582197722016428
22;0.20565872107256591;0.1867334862853227
21;0.20658015954458164;0.22639208994495663
20;0.1941560714666505;0.22977571548314144
19;0.22967991620911118;0.1966724813506496
18;0.21934229786954898;0.18930729876206137
17;0.18872202206777458;0.22819049873643452
16;0.18972348681948586;0.19309481761397013
15;0.17398454848971961;0.19038460930082618
14;0.17069466388721838;0.21430554981955086
13;0.14454523513712111;0.22157821282400322
12;0.16612635105688692;0.19508548164072925
11;0.15257252939556518;0.19744619428307772
10;0.14944293041378715;0.19334550395385774
9;0.19119282945534138;0.19843014013444946
8;0.14108306856861372;0.19068538675485358
7;0.15813452242356862;0.1928682230786638
6;0.14241392138404585;0.19744488171999702
5;0.14856909409960714;0.23194908746982965
4;0.1996521435510434;0.20356026647402756
3;0.1322942790703605;0.20964108670781223
2;0.17070874956990656;0.22808237865932754
1;0.004833358025045985;0.21504870320349045
0;0.03707768109797629;0.21491551825814287
