text;attention
I'd;1.6179279441709384e-17
love;2.8264116821017015e-19
to;2.469484452605456e-19
help;2.8789954514369185e-19
you;2.692072780381635e-19
with;2.4735835257394227e-19
your;2.4206071984259846e-19
problem,;4.997224553667243e-19
but;2.828129137816466e-19
I;2.4706917649277543e-19
need;2.578219279592551e-19
more;2.7112745532305624e-19
detail;3.4881392146146374e-19
about;2.8817343980156645e-19
the;2.722682233194322e-19
application;3.913120735192856e-19
you;2.66928404911453e-19
are;2.433043913453981e-19
using;4.040907090536384e-19
and;2.581667373460678e-19
what;2.757293003825184e-19
you;2.572109926227081e-19
are;2.5109137868603836e-19
trying;2.9844288672819826e-19
to;2.475035617155618e-19
do.;1.0
First,;3.6616339665160444e-19
there;2.594082031652599e-19
are;2.4484738947516386e-19
many;2.8286616994226958e-19
applications;3.345109116376718e-19
across;2.77923261970587e-19
a;2.3242220812715875e-19
variety;2.4752629983771454e-19
of;2.3484916289178543e-19
platforms;3.290025473650229e-19
that;2.5480930750271996e-19
provide;2.7652648397340757e-19
map;4.230463676586054e-19
information;3.1337303239823917e-19
and;2.4544292921895724e-19
track;3.622172083445929e-19
activities,;5.453611847928302e-19
such;4.000305991239343e-19
as;2.7708486443761867e-19
Google;2.8903388053779377e-19
Maps,;3.548101895253965e-19
Apple;2.6858163435230775e-19
Maps,;2.9821982126275754e-19
Garmin,;3.382279038967359e-19
or;2.4323409545817785e-19
AllTrails.;7.177012705466735e-19
It;2.5599708543534414e-19
would;2.4789317920180424e-19
be;2.335897064662096e-19
helpful;2.9352392912725437e-19
to;2.5060699733921236e-19
know;2.9010851688193768e-19
what;2.6296140378397804e-19
application;2.925012983960949e-19
you;2.42728981658422e-19
are;2.37138554452055e-19
trying;3.196564218111287e-19
to;2.4810324029587857e-19
use;2.6175360660994375e-19
and;2.461844260245541e-19
on;2.6273306632999143e-19
what;2.4824357102735563e-19
platform;2.7532329977085677e-19
(iOS,;5.146853898753832e-19
Android,;2.6975157246247026e-19
web).;3.100866149337285e-19
Second,;3.243171142228681e-19
what;2.68770002862728e-19
are;2.3908565126606387e-19
you;2.492412322686382e-19
trying;2.793059266634171e-19
to;2.4124658500264107e-19
achieve?;3.3826755329020402e-19
You;2.461117760777136e-19
mention;2.845782083381248e-19
wanting;2.618680703248753e-19
to;2.5609009977508136e-19
see;2.772299419200294e-19
a;2.466099575107332e-19
marker;4.111721030633129e-19
on;2.5976744299488547e-19
the;2.3304000816791916e-19
map.;3.2671140294647353e-19
Do;2.553457431669788e-19
you;2.5161685270049767e-19
just;2.460627008094871e-19
want;2.50526132155558e-19
your;2.5276347671245097e-19
current;2.5613030872730634e-19
location;3.099073808882697e-19
to;2.343482159614224e-19
be;2.3153200835500116e-19
marked,;3.001484368986812e-19
are;2.498614766634897e-19
you;2.428398301160439e-19
trying;2.4106803538294356e-19
to;2.4031477678383316e-19
plan;2.999530317607e-19
a;2.3064350829272645e-19
route,;2.888607804659352e-19
or;2.5830358774940514e-19
are;2.3369207187257243e-19
you;2.3176643157975515e-19
trying;2.340491984128226e-19
to;2.325857449216339e-19
do;2.332140139660536e-19
something;2.397786760953329e-19
else?;3.3454434004225654e-19
If;2.4269945834276245e-19
you;2.478287660217805e-19
are;2.2409767798969207e-19
able;2.4661954518437023e-19
to;2.4272516219594457e-19
provide;2.6420607509118776e-19
any;2.314775963889306e-19
additional;2.334655634292992e-19
details,;2.788150988179369e-19
I'd;3.4976550552637e-19
love;2.3340506957908877e-19
to;2.326741672923201e-19
try;2.2685504428264517e-19
to;2.237794436483152e-19
help.;2.352280906459305e-19
