;mean;std
31;0.21845627626167718;0.15931769220266015
30;0.1772915087001745;0.15980680046167603
29;0.14800267292077596;0.16588884057840325
28;0.18811511380404705;0.14918336572068455
27;0.19026131726366521;0.14998660678147094
26;0.20114362424396934;0.15784550234413522
25;0.21287758793231015;0.1588489197023882
24;0.21451582639790923;0.1562071270993662
23;0.19059156969137614;0.15545414147656317
22;0.19712967834363387;0.15627914184667102
21;0.1867685456221972;0.16404821249734158
20;0.20688953118437103;0.14895374750814086
19;0.2273015151230654;0.15422064379501693
18;0.20917900580878362;0.15511323111502753
17;0.22537971192378223;0.16035864688781432
16;0.22361726270816634;0.15541599501229045
15;0.22276052229768128;0.15617079501007836
14;0.20120677771750461;0.15767192563933374
13;0.1912933747264708;0.1660818280197045
12;0.208735135738871;0.16486467520308087
11;0.16557594173592635;0.17039983582701804
10;0.19319579252777483;0.16354349801735799
9;0.19303347146401406;0.16872628550636956
8;0.20435400461259298;0.1574220405267849
7;0.2100727437989936;0.16295075254143804
6;0.19364553351373973;0.16517080210690327
5;0.17603594293771585;0.1672639973825717
4;0.22873809652220164;0.15805796978691633
3;0.23686093941785874;0.16963887163750782
2;0.1566567082882128;0.1603006551352749
1;0.18288874717112652;0.16205163175118817
0;-0.045478569076989196;0.17445558284486665
