;mean;std
31;0.22119056311321567;0.16783011717408952
30;0.1676232058337622;0.17424679860283163
29;0.1394544245158802;0.18000695988013465
28;0.18001677239167466;0.16488371606919688
27;0.16991326506035412;0.17076258028699937
26;0.19443470848034794;0.17782488425779044
25;0.19888276018524184;0.1719489994577655
24;0.1951465040249482;0.17503949795192564
23;0.17920435106406177;0.16909029480518797
22;0.18622581479303063;0.16291580713519424
21;0.18720116288886576;0.17294997882426266
20;0.1951113335085295;0.16803478636933136
19;0.21794119562229278;0.15852338085045584
18;0.1996872795478447;0.16987322084933934
17;0.2164906747236213;0.16540229434951242
16;0.21479133044461116;0.15790946633848774
15;0.20874360779253798;0.1653942551368312
14;0.1902732431944831;0.16752437763159125
13;0.17751465334487315;0.17245125333753697
12;0.1920196582584455;0.16705709348677678
11;0.14890516212942867;0.18501730954525197
10;0.1914777878688222;0.1711917896445844
9;0.18343012941772757;0.17881397376323308
8;0.18937749275586085;0.16729812979255096
7;0.2018884424591213;0.1756824985504327
6;0.18419919494549952;0.1675748472716365
5;0.1672858192622586;0.17212131896931138
4;0.21675598329598997;0.16928698845028256
3;0.23136371606219214;0.17789217830769974
2;0.14434072538109116;0.16021935974786883
1;0.17251119727430175;0.16697581673159823
0;-0.06547696384735806;0.19244049504116173
