;mean;std
31;0.1912332822148702;0.14113340718005724
30;0.15465575115989938;0.14303210524426171
29;0.12993864947754727;0.1507729367615927
28;0.17645005264400862;0.14072275934515982
27;0.17024195408123222;0.13949224545178657
26;0.18063479401491664;0.1421122014813511
25;0.1851876208206507;0.1466356350789403
24;0.1884372224548313;0.14507026296077577
23;0.18229056239260014;0.14836567566170308
22;0.18189972189266804;0.14250425145184184
21;0.18042571930960452;0.13563955656729734
20;0.18683577366577186;0.14425326593345683
19;0.2018320406735586;0.1420730679773124
18;0.18500178503679357;0.1438182593799535
17;0.19727860951877815;0.14336868400141298
16;0.20088750500879005;0.14224353038002208
15;0.19879432581206896;0.14613130845659056
14;0.17602882440805434;0.14441260505208536
13;0.1653644599784093;0.1448371565264471
12;0.1877433828702963;0.14423350307026567
11;0.15267852955187444;0.14883555639887208
10;0.18471634176615387;0.14324968889797554
9;0.18407884347993841;0.1481352704680707
8;0.18795606416197258;0.14237549870120939
7;0.1920079898959593;0.14374071455980109
6;0.18098867355261228;0.14743416323008557
5;0.16091155114042785;0.15783199215525487
4;0.20615315372461063;0.1491840474179111
3;0.2209181702963256;0.1488750809427042
2;0.15272587772005702;0.14824387915586046
1;0.1607441348786571;0.15199394870648583
0;-0.027336204843691488;0.16605582680970649
