;mean;std
31;0.20999704265779193;0.16402791279370887
30;0.15769011456402304;0.17528975881871758
29;0.1325587083922889;0.177768337068737
28;0.17841985344685543;0.16416767530853957
27;0.1690849494126893;0.16922896422200107
26;0.18400912818745432;0.16852529731485721
25;0.18818875615892963;0.17281638760425838
24;0.19481586114373473;0.17005166114410544
23;0.18235796831701673;0.1635031959202988
22;0.18855157817099316;0.16202593449458888
21;0.18793504245526443;0.15772831667608586
20;0.20620811214160165;0.17316137093311343
19;0.21953804064862684;0.15793563095194343
18;0.19799109222108044;0.16905997313852594
17;0.20786800826933974;0.15591624035472063
16;0.21854564578946645;0.15201496083707342
15;0.21185402121936908;0.16011157856004932
14;0.18802303141806836;0.1660820159413436
13;0.17953487042872;0.1716680073181365
12;0.1968452555294558;0.1657070464328902
11;0.1548823369171973;0.17879988984797296
10;0.1960184183022305;0.16752496204929124
9;0.18566337855429244;0.17527826527309898
8;0.19645058253118863;0.16620095155550868
7;0.20786743601575844;0.17019187217883502
6;0.18878902872700842;0.1607817010760262
5;0.16720496139974306;0.1717136821183039
4;0.22053181138485284;0.1747707729572962
3;0.2352886027440401;0.17738930685697715
2;0.14895313880377323;0.15957192751460866
1;0.1644271299152807;0.17434212935819693
0;-0.05530209238610587;0.18501966397390018
