;mean;std
31;0.2597112083155141;0.17089233355346745
30;0.20713879200423208;0.1778414766550317
29;0.1934587916414956;0.19248033769460177
28;0.24252075169042334;0.18747811425825078
27;0.23830285621800326;0.17104857291411107
26;0.2597019356243189;0.1692998434089842
25;0.26017331512910535;0.17827977475524867
24;0.26190775395284444;0.1677336310307673
23;0.24813607163220266;0.1788649965638963
22;0.24606737362714254;0.1722658440313697
21;0.24093565178520357;0.18199323249442834
20;0.2535371281981379;0.17198193161282374
19;0.2757064211773993;0.16523158972209215
18;0.26047641503500585;0.16927321288505204
17;0.2794114374938273;0.16836986263820483
16;0.28056409897514806;0.16818573081721336
15;0.2761430855546347;0.1745896851075384
14;0.2536209074533016;0.1693965886537087
13;0.23519015315943242;0.179645490627371
12;0.2630541403126988;0.174939433695671
11;0.21222277249871677;0.1808399258996181
10;0.2483485153647912;0.17403456019793087
9;0.24959870554193;0.17921048756590305
8;0.25463260103091745;0.1778922068534358
7;0.26732805637121576;0.17200844590624859
6;0.23769629401472386;0.17196501496336708
5;0.21852403724832672;0.1822104461490281
4;0.27711693951083427;0.17924549478848248
3;0.2871847184002419;0.176903511810454
2;0.19730021505907536;0.17372696764977347
1;0.23177343522662822;0.1784441641826651
0;-0.027519126496108784;0.21344760744352662
