;mean;std
31;0.22901777609947382;0.182781191142312
30;0.18109550853129405;0.1929183076281589
29;0.1562456789012089;0.19894644085415017
28;0.20329534279110353;0.18186925318687486
27;0.18961986698370767;0.18619964401457764
26;0.22191354414795034;0.18294172470314934
25;0.21409230664273757;0.1829075344522903
24;0.22308609850702613;0.17832171562080112
23;0.2133532449148057;0.17458310967894933
22;0.2219828423552877;0.170074550167534
21;0.22350672875215313;0.17072847247184206
20;0.23369109441977368;0.17925917881413833
19;0.2431517183810524;0.16945365309256274
18;0.22608020010612812;0.17040532279334644
17;0.23888662227990798;0.166372588991938
16;0.24483272482479823;0.16304365653684272
15;0.2431547424570733;0.1715397313265824
14;0.22237539552400432;0.17539303099865222
13;0.20512101813050196;0.18349230235460262
12;0.22703220608061492;0.17521904339639138
11;0.18420212991082438;0.18525902428853938
10;0.2266234205439976;0.18450647474611304
9;0.2198167770252376;0.18459072133310553
8;0.22742328751561647;0.17616996528472267
7;0.23863244158685015;0.17505778460481644
6;0.22101364067401716;0.1705539608274247
5;0.19768453840818356;0.18485968498343439
4;0.252024680084728;0.17543101312651505
3;0.2685680662363787;0.18638106367826476
2;0.1860953589083358;0.16807948670133266
1;0.19276858989653434;0.17675743761122695
0;-0.0415872349874494;0.21282411046753957
