;mean;std
31;0.22573619072835865;0.17527487957501442
30;0.1750526650513885;0.190591484336679
29;0.14948055914784533;0.19240628145526806
28;0.19921667381093874;0.17909982493115495
27;0.18427506816889022;0.18180939210744992
26;0.21668589181655293;0.19059086319190485
25;0.20603970835097424;0.18385462309165188
24;0.22118837472515224;0.18023808959036788
23;0.21329317598897002;0.17180349522766195
22;0.2224955470556185;0.16762068698926563
21;0.2135063667170713;0.16926879758690141
20;0.23100128998764463;0.17474586560334499
19;0.2385428205849874;0.1696739468633683
18;0.22204143947169871;0.1722154731231827
17;0.2376938035790662;0.16494061197814053
16;0.24086540456353076;0.15908491352330703
15;0.23637156087772082;0.1715198169420593
14;0.21258237259382276;0.17448579906875678
13;0.19827182532333165;0.1800665676278321
12;0.2189319428927259;0.17601259913607398
11;0.17843769487009561;0.18524142110242534
10;0.21700010089280125;0.18225847879493606
9;0.21040456121031662;0.18609884279723068
8;0.22134704517362105;0.17418480233831435
7;0.23115015966556732;0.17582242260735298
6;0.21174590490449174;0.1686676267927793
5;0.1927853264990417;0.18542625720347516
4;0.24559581214498646;0.17664339062723
3;0.2642467514602436;0.18612685616141045
2;0.1795330559062187;0.16894616901063436
1;0.19087492713017168;0.17738756838308237
0;-0.04927317528571327;0.20902537136326152
