;mean;std
31;0.21089220266615105;0.18840214318220155
30;0.15637941678067538;0.18595301218666466
29;0.13113989689175895;0.19072565055883894
28;0.18197199524849045;0.1826300932548973
27;0.15841840903123386;0.18193840379331477
26;0.19798656592803687;0.2015033684925574
25;0.1707095563228816;0.18437230895171522
24;0.1798175809039001;0.18835275320758846
23;0.1737129096943365;0.1733424461285778
22;0.18959350917174983;0.170077195871164
21;0.19081782065922934;0.16669326733044473
20;0.20099336640433083;0.1847382613870985
19;0.216192366613033;0.16161913580695259
18;0.19385252874250006;0.18312242194108386
17;0.2073050492783438;0.1697543317259387
16;0.21097773108302342;0.15236059457400628
15;0.2096314735642382;0.17416094869242377
14;0.18667809382515668;0.16908863858351258
13;0.17610704847959727;0.17002432422173797
12;0.1884953922317285;0.16392450594303384
11;0.14567897225774268;0.18593425870504535
10;0.1919180010045784;0.17964752537165632
9;0.1663242060220589;0.1896376107600336
8;0.18087364610049042;0.17216529360662902
7;0.2021783445493738;0.1887935265386654
6;0.179916984832583;0.1702460990126655
5;0.16409280189986256;0.1752336896683953
4;0.20678756772300658;0.19342928736681164
3;0.2237675667465748;0.19187665013498847
2;0.1320497305159761;0.16767816163918883
1;0.15119581544724472;0.1716239248332022
0;-0.07956645617636075;0.20248657335526196
