;mean;std
31;0.195456686052464;0.19964765275063784
30;0.14859966705876745;0.20709705595930142
29;0.12989153854250965;0.21496642979277325
28;0.1737286326824143;0.20048033541338742
27;0.15260968167848168;0.200743239403502
26;0.18700334796067922;0.2021636988396202
25;0.16713089871466544;0.20437845837812155
24;0.18222014336434963;0.20702722608047075
23;0.17450110559868315;0.2025117129507465
22;0.174908389519199;0.200746122408385
21;0.17627114269405325;0.19956266923737734
20;0.1862743203886279;0.2026903490169763
19;0.196117466957408;0.20038731142335964
18;0.172258054818907;0.20215527494858482
17;0.19519914331462201;0.1980245412483972
16;0.18412408517967144;0.18552907235780142
15;0.1886446890171872;0.20215952241626892
14;0.16755495859011812;0.2039649631976823
13;0.16666219275999425;0.20941130702981112
12;0.17064120919435546;0.1975536800161178
11;0.12839177227199086;0.20048845830048526
10;0.17327446483595152;0.20418742905522527
9;0.15765146126931484;0.20498855371289162
8;0.17482272279777256;0.2002057295682333
7;0.1852247750904662;0.20494152230818694
6;0.16461318977351796;0.19194043140539527
5;0.14305236013193448;0.1919230632549558
4;0.19265316875508573;0.19651296739768637
3;0.20962990717320834;0.19876598786560915
2;0.13776007928594133;0.1935888761257066
1;0.14233896993034412;0.20119295722913963
0;-0.05500971251103529;0.22220600166399226
