text;attention
To;0.7997478176166716
find;0.0028445152127469634
the;0.002299368316100536
area;0.0038215995171587236
of;0.00317868174266168
an;0.0025090151493644282
equilateral;0.013823950171116282
triangle;0.005770843102017278
with;0.0035138136832784553
one;0.0026066419632215176
known;0.004009281518307892
side;0.0060691890815124895
length,;0.01700792477837142
you;0.004231888856772929
can;0.0029761243770891864
use;0.0025784670970761523
the;0.002253733067315012
following;0.002263793316706556
formula:;0.003994278334077595
Area;0.003647705277740118
=;0.0033913823823859056
(sqrt(3);0.010239153841244224
/;0.002452697150742859
4);0.003921309588144971
x;0.0022493226029759402
s2;0.0066149915104267406
where;0.006172984323596422
s;0.002551325464982697
is;0.0027704341421913746
the;0.0021538493216564395
length;0.0022555856417301166
of;0.0021064490535401756
one;0.0023413489816458944
side;0.002600168451717409
of;0.002230809023747144
the;0.002062963130251689
equilateral;0.002868092732931059
triangle.;0.0033900236530184725
So,;0.003619565735149901
if;0.0023420607519346157
you;0.0020574294895364274
are;0.002078239550412738
given;0.0023359169631674624
a;0.0019968283325569438
side;0.0021871843393085765
length;0.002107822781163621
of;0.0021350304575753275
s,;0.0035207859247563494
you;0.0021384827892972566
can;0.00207308726779991
plug;0.0021340666978429943
it;0.002014367457817363
into;0.0019967467012160854
the;0.001867452432307869
formula;0.0020771222091753028
and;0.001969853789395046
solve;0.00211924547909357
for;0.0019367609886261049
the;0.0018452945965205848
area.;0.001925132089109699
