;mean;std
31;0.25256999568883604;0.17718998968964708
30;0.2065564774403192;0.18532092562666008
29;0.17894981719963415;0.19698334032936107
28;0.22834116147616004;0.18708572029602283
27;0.22863847866819012;0.169951508993347
26;0.2438711895740125;0.1685230695541104
25;0.2520268940690816;0.17468721636746024
24;0.25460406521707385;0.16391512254084128
23;0.23956179911764144;0.1808335858044095
22;0.23554950271731648;0.1745759110099001
21;0.22933091509462042;0.182060416695525
20;0.25293056026495864;0.17184052257845595
19;0.2667281186557514;0.16694138708607045
18;0.2544084063549897;0.1676782921835175
17;0.26671354125017765;0.16716689737344897
16;0.263558881841838;0.17050237983177016
15;0.2581955454942345;0.1741907183401079
14;0.23926255379185152;0.17186723476007024
13;0.22605377624189762;0.18043397351951992
12;0.2534206594816464;0.17457198792455556
11;0.20833071908723133;0.18258579575856948
10;0.2377921452923354;0.17183289642552244
9;0.2398884374611553;0.17668354857129834
8;0.24129242629028677;0.18198716000477289
7;0.25939225854228243;0.17414526419221169
6;0.2331718483751841;0.17206392862218073
5;0.21629939001385667;0.18169649710199506
4;0.2753879514981503;0.17308734029172393
3;0.28184865143200455;0.18196754448643404
2;0.1893800849704329;0.1770907299535541
1;0.2240143103831036;0.1835607861188528
0;-0.024829316069795944;0.21712015250851346
