;mean;std
31;0.2614062340964472;0.18031535771727014
30;0.2094531831628448;0.1886507360301119
29;0.18038027560502617;0.19659918165318394
28;0.23462352086182212;0.1971090733999034
27;0.23512157469679554;0.17107288952945293
26;0.25182962570318956;0.17328616924518633
25;0.25782157402371664;0.18374270100522366
24;0.2613271959914503;0.17194982832549446
23;0.24624899515200482;0.18156568409686163
22;0.24096870678953786;0.1753007372343905
21;0.2342728579322549;0.19041967956926162
20;0.2571570437258005;0.17629334446706946
19;0.27370747566193915;0.17284984150742636
18;0.26305689000055377;0.1673766853955734
17;0.27430151676929826;0.16599734216880976
16;0.27070558046377846;0.17381224275728838
15;0.26421581971779745;0.1746345507599058
14;0.24469732490059032;0.1759588110276262
13;0.2315677861697733;0.18030072919852527
12;0.2614967858218855;0.17423778814559007
11;0.21472197882239852;0.1832542295943343
10;0.24547344475824898;0.1754559401404969
9;0.24717610320413363;0.17836695500952066
8;0.2510189004682455;0.18242255944034616
7;0.27040961137831787;0.17330952663402296
6;0.24062479375220988;0.17511017688159644
5;0.2228635961060004;0.18548191694851424
4;0.28209712332005316;0.17437710465152578
3;0.29341775599946324;0.17612481168993746
2;0.19400632910007948;0.17820356161531442
1;0.2258376650972839;0.18212574946343296
0;-0.030639547562149726;0.213304791141306
