;mean;std
31;0.19645753916694753;0.14387635678642133
30;0.16270212331259165;0.14683483383069507
29;0.13496357671153358;0.1484843821164169
28;0.17747632292629037;0.14167304027850888
27;0.1775986255177053;0.1416985573914268
26;0.19016699033473647;0.14753514289959635
25;0.20025796633085804;0.1524044389538581
24;0.19685573045025212;0.15249689932950158
23;0.18452239374661114;0.15235043082773764
22;0.18294601948965997;0.142827113978455
21;0.18212626105239135;0.14109753038245842
20;0.18510123302592227;0.14096188145069155
19;0.2054959919044564;0.14344633560017442
18;0.19340352685613302;0.149389172915045
17;0.20222417127349493;0.14369244997502145
16;0.20127586211192694;0.14013022156723234
15;0.19508009576480592;0.14223688742488508
14;0.17564422159400556;0.14274401148136878
13;0.1659660856817624;0.14166117126553937
12;0.19171823450048103;0.1410860058185931
11;0.15158043788865305;0.14287059468650698
10;0.18072246853220245;0.14274497748920595
9;0.1809376343563914;0.14408631262755558
8;0.18078221808630823;0.1401124674156232
7;0.19174392795648046;0.1454747384840209
6;0.1814443775529433;0.1525026316002007
5;0.1646582272838526;0.15139596238888797
4;0.2075359642705722;0.14765486436479056
3;0.21907129272085696;0.15032877204598608
2;0.14178518500631687;0.15182670821527833
1;0.16909551114179358;0.15457487172490575
0;-0.03577320157685382;0.16865751183466068
