;mean;std
31;0.2105546891447401;0.19320844341363264
30;0.16310839429556045;0.21397225424546884
29;0.1403569917151718;0.2151740020630391
28;0.18280979090515959;0.19401802462159567
27;0.16264078886215735;0.2020777415132727
26;0.2076588389143356;0.20691186422615893
25;0.1948836975724388;0.20836563473297193
24;0.1873776903022766;0.2067693403978064
23;0.19428884199873936;0.20776181500700436
22;0.17985525889964024;0.20224350035018385
21;0.19722539481995438;0.19716671879455816
20;0.1892588877246225;0.1944405745468197
19;0.20696609272410849;0.19327699835677475
18;0.1882198439951328;0.20208856768808914
17;0.20718169551323518;0.1953007285673047
16;0.20435076828280235;0.19303103585540077
15;0.19350624153029009;0.1967345488465533
14;0.17483661208666104;0.20161165756107394
13;0.17422465381329613;0.21158146472804035
12;0.18768090754529287;0.19502706954997456
11;0.1382422169438706;0.20139321085443093
10;0.18740724084270113;0.19929794862541328
9;0.17250903762770364;0.2055171822012228
8;0.17385401836847367;0.1977489634888103
7;0.1893635187940039;0.19521824726105244
6;0.17110029250147762;0.1931242945906351
5;0.1566472380806689;0.19156435992497828
4;0.20981589526088051;0.19785816182160434
3;0.22937209317079935;0.1972587801899225
2;0.14735109828826584;0.19064123906303468
1;0.17066730342145867;0.20151704154172462
0;-0.06604216864784943;0.21651836318485684
