;mean;std
39;0.20591589679486152;0.1913695956051529
38;0.14827569460969975;0.18232743905790716
37;0.14194143551269855;0.17738847959885923
36;0.1367252264821137;0.18269828770335683
35;0.1485284585492534;0.18240550906646158
34;0.14570408052926045;0.18334121004936105
33;0.15123239139804476;0.17926290060170422
32;0.1498053718199324;0.1781758850522937
31;0.1520280296770053;0.18136225532002068
30;0.15157891713538002;0.17809369642954906
29;0.16636982257268954;0.1808462846104447
28;0.16995521213284584;0.18183837796931368
27;0.16538013506466429;0.17903293636358097
26;0.15212162576342125;0.17353584585262274
25;0.16815823839329494;0.17463857668194185
24;0.15814196174162115;0.1859666297544306
23;0.1881487159183038;0.18117938412873696
22;0.1558269257738975;0.1795108372012323
21;0.19561991422935973;0.18306766930170892
20;0.18429874242881292;0.1906191268369957
19;0.20604692670856026;0.1770460377355879
18;0.21461669349455056;0.17511649850997849
17;0.2117594112041717;0.1812605818079878
16;0.200504451469611;0.17683720167172812
15;0.20667295192702678;0.17147302219993077
14;0.21650848077782767;0.16832918628514867
13;0.2095850946006799;0.17244040688503895
12;0.21968170676397505;0.17099720579570324
11;0.2020656696478139;0.16364119788973336
10;0.20567905204978376;0.16817271901235284
9;0.2091109854462036;0.17056416004462965
8;0.2283647280600435;0.16869464263960762
7;0.21855688265395753;0.16505769080952307
6;0.23384723219093287;0.1644842108264973
5;0.23059657764282562;0.1636263952280284
4;0.2277869057618107;0.17640874513860658
3;0.20673069159632093;0.17721155361463825
2;0.24935610567843108;0.17283421601573729
1;0.17118397398216417;0.17554344083257709
0;0.04528760834539822;0.19488754024070834
