;mean;std
11;0.24482197927793986;0.14344416049890152
10;0.22691162460704328;0.15525119705182241
9;0.21381407396951524;0.15305590854692702
8;0.1721315459254531;0.1509889224626529
7;0.1302380950054516;0.14700225355400406
6;0.21705341346845758;0.15464224321828537
5;0.20669744108977733;0.14681507241217445
4;0.17131099984505668;0.14518185917004692
3;0.09893983737254633;0.14245488068071854
2;0.10642356771552829;0.15665946768098318
1;0.053256005115358045;0.15656567221562306
0;0.31969301589196336;0.18372884304628714
