;mean;std
11;0.2972371060699231;0.1527834868780522
10;0.2861055781413148;0.16311146419236885
9;0.26657602051373336;0.1616331746836725
8;0.22350418739621944;0.16997058090880554
7;0.16512002203831183;0.1698716262557094
6;0.2659255756310552;0.16978167965604848
5;0.2439605373423427;0.1550326065941987
4;0.2177308069300947;0.16174514161029943
3;0.14388034812695133;0.16982963026071457
2;0.14716349952348962;0.17883269449477324
1;0.07442849144787618;0.18841400068528946
0;0.3905406488939157;0.17015839279325903
