;mean;std
11;0.2717540763687436;0.14928038186631482
10;0.2532771835894063;0.15407698444460155
9;0.24115003613188118;0.15437919549148582
8;0.190962787352333;0.1577988847688741
7;0.13749705634560766;0.15424681826386405
6;0.24648223652996903;0.1582524792849199
5;0.22232987069255616;0.14990714269726121
4;0.20518659716572207;0.15399549343274294
3;0.14195629899576265;0.1610022241986602
2;0.14147415637241845;0.1674439050196413
1;0.08652696121944047;0.1811938332015125
0;0.35198062192397594;0.15423975761694805
