;mean;std
23;0.13958717726232653;0.16567832342538996
22;0.071229431998953;0.1664387927947105
21;0.1457691004518545;0.16953903535360434
20;0.1730025968116832;0.15730295513915915
19;0.15380145971468606;0.16052833615109371
18;0.15030280923818506;0.15166095569454138
17;0.13508506593544775;0.1476380658910246
16;0.13680869705884618;0.15092601533001287
15;0.09384291111953087;0.14709120490537425
14;0.1580344608074892;0.14500618994082795
13;0.22981460293734463;0.15041385532926801
12;0.1272750850119311;0.1472529777353561
11;0.061524677783361646;0.1526112684727227
10;-0.008920713396478075;0.16478283500565727
9;-0.0059818672416038455;0.17688346855239842
8;0.005655074912064807;0.1731835582424958
7;0.06793787922716994;0.15396227957845665
6;0.012602070596160805;0.16979224104254614
5;-4.4602062623337435e-05;0.16438182069013624
4;-0.05052105876205135;0.16941903681116235
3;-0.057762638214176376;0.17401885510864132
2;-0.05552943110062982;0.18371303779841058
1;0.10097319141106613;0.17613051367599192
0;0.31937859849584666;0.1515166440734459
