text;attention
Terminator;5.498647856722793e-17
2;2.467479743385929e-30
kicks;2.6488279879329878e-30
ass.;1.0
It;3.657716308362542e-30
eschews;4.860449175807108e-30
the;2.310784374950268e-30
horror;2.7631899411050134e-30
format;3.774125441049276e-30
of;2.4424650831503437e-30
the;1.886263507184499e-30
first;2.165505480604108e-30
films;3.6165052183484276e-30
and;2.7221794571344092e-30
doubles;1.9492212780463764e-30
down;2.115483323546334e-30
on;2.056332352180927e-30
the;1.884000411910691e-30
action,;5.175777900575521e-30
which;1.8964091196448505e-30
is;1.7466962632027753e-30
executed;2.1522787623416493e-30
to;2.0142384281875367e-30
perfection.;4.80306494210397e-30
It's;3.18526239500539e-30
fun,;3.7795258688444545e-30
it's;2.4041236688920227e-30
exciting,;2.3774469824777263e-30
it's;1.933517528241017e-30
cool.;3.1349054396509366e-30
It's;1.9882124044959397e-30
a;1.6849348288393155e-30
perfect;1.801982257944644e-30
movie;2.384162479422093e-30
for;2.1562870600207703e-30
people;1.812603261589132e-30
who;1.9931816645038713e-30
like;1.72814999428535e-30
explosions.;3.321621103649618e-30
But;2.173082323158028e-30
more;1.56098649960377e-30
than;1.8480862380828028e-30
just;2.0163046643536806e-30
being;1.959082859845352e-30
a;1.9624981574819187e-30
great;2.1957002466016282e-30
action;2.358964981875544e-30
movie,;3.8337530398133236e-30
there's;1.9888711441786888e-30
also;1.8236507237430013e-30
quite;1.6699902606344315e-30
a;1.5469269854120394e-30
lot;1.6883728095910195e-30
of;1.6772456093289562e-30
good;1.7053947905835497e-30
commentary;3.3320469378625364e-30
about;2.864942339415127e-30
the;1.8967418102163362e-30
conditions;2.0882357404143708e-30
of;1.9689936296042187e-30
life;2.063258175335907e-30
in;1.821781939520816e-30
southern;1.858029331185975e-30
California;2.105650091451307e-30
in;1.9175216499489835e-30
that;1.6419335615904463e-30
time;1.8082791468125012e-30
period;2.110160348261067e-30
-;2.585453170574069e-30
there's;1.859472996700449e-30
a;1.5783016789229012e-30
reason;1.9436710174659727e-30
the;1.7397097830871715e-30
bad;1.5956673974165967e-30
guy;2.0761083986113174e-30
is;1.6619729978952457e-30
a;1.5827995973507544e-30
cop;1.7772330608623974e-30
-;1.755218159274081e-30
and;1.705605624575674e-30
some;1.6523205189985005e-30
prescient;2.021483734750026e-30
ideas;1.902034597795966e-30
about;1.826337815141027e-30
the;1.6794098406373366e-30
role;1.616032161706247e-30
of;1.7126931906390894e-30
highly;1.670668633441536e-30
advanced;1.733965936458181e-30
machines;2.4536234611231673e-30
dominating;1.8878653034886553e-30
the;1.615868300471565e-30
lives;1.5718594500572726e-30
of;1.582463232369443e-30
humans.;1.9962069717944052e-30
James;1.6383217506740726e-30
Cameron;2.5186672459234728e-30
is;1.8376161349880647e-30
a;1.664135921898841e-30
master;1.6592942874722027e-30
filmmaker.;2.3643864736793875e-30
At;1.643263964207273e-30
one;1.5926811393603634e-30
point,;2.142911506915874e-30
Arnie;2.100895788758945e-30
shoots;2.1602576268354174e-30
up;1.750849165122905e-30
a;1.6482810150643132e-30
bunch;1.6192199575766756e-30
of;1.612819687069063e-30
cop;1.6212471063345146e-30
cars;1.7729276729827955e-30
with;1.647997086319551e-30
a;1.680343488362616e-30
minigun,;1.9180535799633114e-30
it's;1.653153384687284e-30
awesome.;1.5474829632476213e-30
