;phi-1_5;roberta-base;bert-large-uncased;Meta-Llama-3-8B-Instruct;roberta-large;Mistral-7B-Instruct-v0.1;bert-base-cased;Eurus-RM-7b;UltraRM-13b;Llama-3.1-8B-Instruct;Llama-2-7b-hf;Mistral-7B-v0.1;Llama-3.1-8B;QRM-Llama3.1-8B;bert-base-uncased;Meta-Llama-3-8B;Llama-2-7b-chat-hf
0;-0.2048683903720511;-0.0495118533187521;-0.0420840496264139;-0.1053720784131582;-0.0714285714285714;-0.0339819447543081;-0.1197626261913258;-0.0357142857142857;-0.1284457725980754;-0.0891042701123295;-0.1071428571428571;-0.0596688112882153;-0.0417691678465637;-0.0963856120713406;-0.0714285714285714;-0.061425246833182;-0.0400104430025386
1;-0.1277645134130186;-0.0062953333010502;-0.0197547293544516;-0.0822162973516639;-0.0492969970642799;-0.0267654708534201;-0.1017743651552126;-0.028925374954493;-0.1042024778073743;-0.0879120879120879;-0.0357142857142857;-0.0588235294117647;-0.0357462162398538;-0.0893655405996347;-0.0620148465810632;-0.02322655916039;-0.0357142857142857
10;0.0099465560423914;0.1122072934422552;0.1536146320387564;0.0325329788733954;0.1501341082073863;0.0729197550463969;0.1044585819078998;0.0654777693380437;0.0567595459236326;0.0420604941148898;0.1101955703406197;0.0725601618086981;0.044312884999761;0.0466499679202438;0.1359480350582073;0.0313273297890148;0.0866165744608782
100;0.8982196964349441;1.0;1.0;1.0;1.0;;1.0;;;1.0;;;1.0;1.0;1.0;1.0;
11;0.0107238648719561;0.1240109267765979;0.155757724031407;0.0387284461372707;0.1528165177153392;0.0732797432917004;0.1124809697827452;0.0714285714285714;0.0573342219306232;0.0489842629319307;0.1105583738540904;0.0841911734927043;0.0446147533943995;0.0542375989376397;0.1410462921030143;0.0530997678436412;0.1149518417322861
12;0.0168654860416173;0.1338061348887597;0.1590417717828387;0.0560671339593723;0.1635245797618772;0.0862700768814485;0.121530708241066;0.0801638882132905;0.0574693690493859;0.059083139895243;0.1113278702998427;0.0844745704508395;0.0492359499127025;0.0557667287612267;0.1411975541474228;0.0579113562558252;0.1166150670794633
13;0.0376978247357736;0.1451374875158063;0.1591058596748541;0.057501466892866;0.1682636276539751;0.0972941029087204;0.1370483481914395;0.0801789153903488;0.0651276116690432;0.065533736770531;0.1366112792814593;0.0986572589641204;0.0773139947962606;0.0594684033200392;0.1646470573764673;0.0658726209055178;0.1199078973919447
14;0.0492969970642799;0.1478860577598103;0.1637543871001181;0.0603953696376646;0.1888190317396638;0.1079397763335157;0.14153362213731;0.0840078630684119;0.083208900053121;0.0660455539176473;0.1467321106620926;0.1033216336639277;0.0952403917644272;0.060117049961915;0.1690182756489597;0.0791764090906212;0.1344184873131886
15;0.057175299980927;0.1650862727942406;0.1639437174868523;0.0615094196811925;0.1943718186519095;0.1084338579097104;0.1470221999509553;0.0901043394257332;0.0858847874101125;0.0749717522786887;0.154504183490986;0.1052217705531346;0.0967272537372924;0.071477086169563;0.175320599512107;0.0803590805512354;0.1348984901533761
16;0.0587350063677598;0.1698040585427002;0.1702075719631236;0.062573613383979;0.1970824517467747;0.1097810757594764;0.1624900220345571;0.098557024546122;0.0889557966452752;0.0779873412427046;0.1561127188002447;0.1142886298491747;0.097080414005866;0.0806756685510378;0.1771607414816112;0.0943144435959152;0.1369324411307917
17;0.0598772373305161;0.1762347948653946;0.1823057028232548;0.0646694973596613;0.1978218202449556;0.1103003140679994;0.1668850618360371;0.1020930614732857;0.0926076740744156;0.0812207424108483;0.1648497342135136;0.115486478966878;0.1062951496388028;0.0897839109862569;0.1787310811992694;0.0948216122938484;0.1564975053722008
18;0.0620124999424565;0.1785345717234261;0.184102029926259;0.0657596595271889;0.1995398789309742;0.1164029139519091;0.1901455601050796;0.1084772675286529;0.1091045541259691;0.0918472652218782;0.1762735252792202;0.1207335048243021;0.1108083991130125;0.0918472652218782;0.1912652771462948;0.098701995783467;0.1682970354856129
