;rejected;chosen;phi-1_5;roberta-base;bert-large-uncased;Meta-Llama-3-8B-Instruct;roberta-large;Mistral-7B-Instruct-v0.1;bert-base-cased;Eurus-RM-7b;UltraRM-13b;Llama-3.1-8B-Instruct;Llama-2-7b-hf;Mistral-7B-v0.1;Llama-3.1-8B;QRM-Llama3.1-8B;bert-base-uncased;Meta-Llama-3-8B;Llama-2-7b-chat-hf
1;0.2805078841893808;0.2392715902490467;0.1236441948964804;0.3187651459787674;0.3711544175791993;0.1836616607552015;0.3557339694585409;0.2339214807713058;0.3311419024209128;0.2263382373080771;0.2282368390964265;0.1921546319691982;0.2712111819311468;0.2155209692331284;0.1847686225805793;0.1894710504364296;0.3720937994142825;0.184117778965597;0.2598897372192137
2;0.2102868743485084;0.2338233013856388;0.1294447401672339;0.2087138410590581;0.2365377977762001;0.1838358574373776;0.2451094958630632;0.1969320682444359;0.2370188708572234;0.2014316902340028;0.1986312992358589;0.1854803022117207;0.2114199914295233;0.2034466338312838;0.1913206529098544;0.1857461361784031;0.2456007261243883;0.1917648415557939;0.2240028501447593
3;0.2368421150549222;0.2319676620258905;0.1303269058614907;0.2714983921493198;0.3317828688287761;0.19252198082196;0.2907809992576465;0.2138160443809939;0.3122501263973776;0.2093160944238275;0.2071338496322464;0.2017901473182088;0.2386675879125438;0.2272757996755152;0.1964333839942858;0.2071707619149528;0.3224375239213203;0.1916555261140196;0.2332486295393122
4;0.2036813152341507;0.2519155842593122;0.1861372599872222;0.2383140789144153;0.3223332246371906;0.2238798651825016;0.274475272210284;0.2568688186594843;0.2787869343657206;0.2541965317786914;0.20775760509174;0.2323549536959672;0.2172616565971311;0.2476339989195821;0.2297667487583246;0.2314063344194702;0.3155885832215575;0.230790446408403;0.2241914461312038
5;0.2145115378561353;0.2574827015940951;0.1604439200339651;0.2740444182256612;0.321369613717711;0.21794456284444;0.2888468425290643;0.2324384837369388;0.3054257150461675;0.2369156389524894;0.2166341125301945;0.2214573673525695;0.2501235001048653;0.2282658067856742;0.2216322106924619;0.2209757981581093;0.3291660278042422;0.2221458535528092;0.2397759847779041
6;0.2506511684223551;0.2799045946882168;0.1764472308705;0.3065372017811266;0.3250831544547015;0.2377333946006633;0.3395527972243328;0.2680803257784345;0.3318905355910275;0.2673646663588178;0.2420857285696968;0.2367346535812068;0.265956794822538;0.2512162283718773;0.2384040516050018;0.2376281016677505;0.3516787195369919;0.24137942218734;0.2607660994339962
7;0.240596946149762;0.2437434610975322;0.160710101355413;0.266833334428612;0.3199157885938179;0.2085128976762062;0.3033801829105652;0.2033069994685564;0.3014298939570393;0.2141434027356588;0.2010264277730336;0.2012336029447404;0.2375991084180456;0.2244319569270822;0.2079114101460246;0.2005725429559424;0.3180256019512043;0.2143278631952053;0.2330990171532387
8;0.243441296257429;0.2788901950047747;0.1737685264039837;0.2694134728459652;0.3251655682998401;0.2468259882282911;0.287306572225793;0.2590042106163994;0.3097229089787038;0.2610684539857836;0.265129858240238;0.2480412080148953;0.2578685820930764;0.2610168176262974;0.2427124614565693;0.2461682491910178;0.321352867604184;0.2461657015664237;0.259797535064004
mean;0.23506489218908044;0.2521248862880634;0.15511535994703612;0.26926498567286566;0.31916780423592955;0.21186452594333016;0.2981482664599112;0.23304605395706862;0.30095836095177153;0.23384683947216856;0.22082946502117934;0.21490585838606335;0.24376355041360875;0.23235102642130506;0.2141186927678877;0.21489237186525945;0.3219929811972714;0.21529342919319894;0.241846412432954
std;0.025165859131948725;0.018873871390585235;0.024168824983453133;0.03484178477340399;0.03737045751279009;0.02402145696578639;0.03523326066095564;0.02680167991848035;0.030873421345226068;0.02502881882265014;0.02308427418953055;0.022879419937945025;0.02170496590518568;0.019402010286232167;0.0221719727032824;0.022568120198218376;0.03651991248364879;0.02392215911526217;0.015993636882317808
