;mean;std
11;0.13971792698716795;0.16661446140674468
10;0.17980937004561948;0.1526986214025999
9;0.16054644891837194;0.15885000614325273
8;0.16048302427539943;0.15809312946499582
7;0.1957847611795929;0.1495147195876439
6;0.18104662678801794;0.15352407686320876
5;0.20257055377146832;0.1516389190831607
4;0.18407166221180546;0.14053701067219546
3;0.1734688339846006;0.15695756871833047
2;0.2241876848406744;0.1373355677519954
1;0.18781667887676398;0.1540378555541812
0;0.30600309159253897;0.14851026787553864
