;mean;std
11;0.14789527572887318;0.18537408324119084
10;0.18839813657270732;0.16615712814668618
9;0.17010762509620087;0.16785433715556472
8;0.1708514611177281;0.1801734284068841
7;0.20149095820695118;0.17511785721370854
6;0.18935804302026338;0.17264979458271223
5;0.20660445798932528;0.17207771219660756
4;0.19048514822423238;0.16322440926819964
3;0.1798163756716566;0.180724226255564
2;0.23431480210825462;0.15851055323891416
1;0.20000479609797994;0.17647466818490132
0;0.31373265958188024;0.15672268006042137
