;mean;std
11;0.16093063656922896;0.169730134198532
10;0.21240371124570329;0.16498743111997524
9;0.18756307995082908;0.16990499945515006
8;0.1827776046700418;0.16651757670588038
7;0.21347055295178374;0.16154626059786295
6;0.21995439634187938;0.15851624984268006
5;0.2313908673308604;0.16251894346346157
4;0.21476941108371678;0.15519979373673337
3;0.19321114662807026;0.15888657608464551
2;0.23882884154253486;0.1582891671225325
1;0.20266736395158477;0.16330726667712392
0;0.31703307683042786;0.14843435350101464
