;mean;std
11;0.1648382628880564;0.19184690767017296
10;0.20902127082083297;0.21853226969667977
9;0.1992207018408418;0.20337217310774436
8;0.20746011953751206;0.21658678626469702
7;0.20768233108758336;0.19158938219770938
6;0.22372653767949038;0.19737551816674162
5;0.23551696611961995;0.17786584921531376
4;0.22078348840446152;0.19626806405683836
3;0.18930058109232456;0.20788933347852376
2;0.27491675889641637;0.18770449918939563
1;0.2396898630027347;0.2022761769786536
0;0.3062897597741915;0.19258788783568126
