;mean;std
23;0.07018739035360824;0.22339695925882916
22;0.090819041680604;0.2203020268252914
21;0.14059769803693786;0.22674361348885694
20;0.1733696465348086;0.2228543473955472
19;0.14800018893052805;0.21232254163087827
18;0.10450188066755786;0.2263724050687315
17;0.08675067127503104;0.2244637522467309
16;0.029746166271705614;0.22164899322664802
15;0.019673484693616936;0.2294634358502248
14;0.05474711435791434;0.22112392169598388
13;0.06572264229347362;0.20556312234202592
12;0.14213631089187406;0.19979582634849824
11;0.13775292344969392;0.19888806068247383
10;0.0834174876210506;0.20826887123197582
9;0.12026245213665752;0.22043619697183892
8;0.06143155059918699;0.20991354073600957
7;0.1007462737818218;0.20838236520539194
6;0.07826003142746212;0.21363923748226452
5;0.1122401017655521;0.21070332239190537
4;0.11184228212530274;0.22057739100220342
3;0.1845209016045339;0.2248857651623997
2;0.07082494137952298;0.23765694515664548
1;-0.031890091149060974;0.23815464533856237
0;0.3049997856156668;0.2061964844701583
