text;attention
Sure,;3.1697134086876496e-13
here;8.05838313061021e-16
is;6.628915207462922e-16
an;6.177943640657717e-16
example;8.022747700784867e-16
of;7.103822682185845e-16
a;9.404721656042916e-16
game;1.0818624425486344e-15
played;8.518406005978253e-16
by;1.1060072676468178e-15
Bob;7.700311744449698e-16
and;1.125057246536176e-15
Jane:;2.7266354824034766e-15
Bob:;1.0584441169371962e-15
"""S""";1.8288025817220762e-15
Jane:;8.942795108147883e-16
"""T""";1.6150960743739267e-15
Bob:;9.176980554893618e-16
"""A""";1.8302701612756425e-15
Jane:;8.752507090838711e-16
"""R""";1.87514639534606e-15
Bob:;9.175738423161646e-16
"""T""";1.838995172345836e-15
Jane:;9.36327677320004e-16
"""L""";1.8057797416096032e-15
Bob:;8.479316224262115e-16
"""E""";1.1878819754399224e-15
Jane:;8.618283769654749e-16
"""D""";1.6206180912043964e-15
Bob:;8.85364784900107e-16
"""N""";1.5119158037041134e-15
Jane:;8.247781538704815e-16
"""S""";1.9827152309687114e-15
Bob:;8.25326280071642e-16
"""H""";1.2294942171131921e-15
Jane:;7.750272759341512e-16
"""M""";1.332751271017701e-15
Bob:;8.349807317340307e-16
"""O""";1.1329270506599514e-15
Jane:;7.568125252597161e-16
"""P""";1.8166896743468216e-15
Bob:;8.376674052197933e-16
"""E""";1.3650975604122797e-15
Jane:;8.658336220043514e-16
"""X""";2.1373892130426522e-15
Bob:;8.556010242087446e-16
"""I""";1.4305308735219332e-15
Jane:;8.683130191029281e-16
"""T""";2.3336756157678426e-15
Bob:;1.1719695643178111e-15
"""Y""";1.8093001261859565e-15
Jane:;9.919981440012063e-16
"""U""";2.0532562297991742e-15
Bob:;9.868325270589639e-16
"""R""";1.548760104860893e-15
Jane:;9.246139614135081e-16
"""Q""";2.5875054652948535e-15
Bob:;1.065426906726711e-15
"""U""";2.212454422631857e-15
Jane:;1.3647587531107794e-15
"""F""";3.1722122181425457e-15
Bob:;1.4952689460156978e-15
"""F""";2.8391923386447857e-15
Jane:;1.535380875099878e-15
"""K""";5.521021615055311e-15
"Bob;";1.3430118755339511e-15
"""Y""";2.609311118271788e-15
Jane:;1.620418197354586e-15
""")""";4.807934747558548e-15
Bob:;1.559209057781835e-15
"""2""";4.319525901764856e-15
Jane:;1.116071023035938e-15
"""G""";3.967513330951715e-15
Bob:;1.693886694136381e-15
"""E""";4.887660379964041e-15
In;1.2970562491373712e-15
this;8.28155550632922e-16
game,;2.0981695696833386e-15
Bob;6.606696340972525e-16
and;1.3078093297127664e-15
Jane;5.961510352887208e-16
take;8.723343099393995e-16
turns;8.929822129769246e-16
giving;9.376006910793376e-16
a;8.519142763591947e-16
single;7.982170780928887e-16
letter;7.156037454148617e-16
to;7.21641699274673e-16
form;6.746396085087081e-16
a;7.00357605632845e-16
valid;6.72634725040483e-16
word.;0.3930284705513262
They;8.119193820846458e-16
continue;8.593700573528558e-16
until;1.1218158844017503e-15
one;6.589915073183021e-16
of;6.306243806671432e-16
them;7.270405084113714e-16
cannot;8.219590988833923e-16
give;6.747752761635235e-16
a;7.641885864440414e-16
valid;5.963488823862602e-16
letter.;0.29408530331707156
In;8.731480497927566e-16
this;9.059253904748072e-16
case,;1.8172954029238674e-15
Bob;6.756277084686922e-16
wins;1.1185980622348692e-15
the;6.410597887593791e-16
game;6.414859160818229e-16
because;9.963755961141158e-16
Jane;7.185385149194565e-16
cannot;8.368837390055028e-16
give;7.182346700393382e-16
a;8.149007449662672e-16
valid;6.192314648534214e-16
letter;5.587511662299284e-16
after;1.219296028706678e-15
"""G"".";5.728853786952504e-15
Note;7.683678146368117e-16
that;8.040167072199994e-16
the;7.606229139184925e-16
words;7.088940865284059e-16
formed;7.047571972172813e-16
in;6.958166808707053e-16
this;7.642562299836761e-16
game;6.683084018490798e-16
may;7.300706996233068e-16
not;8.74493634005866e-16
necessarily;6.76620260189999e-16
be;8.9364528100803e-16
meaningful;6.799408625258498e-16
or;7.208528600751826e-16
valid;6.447013169022273e-16
English;7.803455568622353e-16
words.;0.3128862261311152
