;fix_number;first_fix_duration;GPT;fix_duration;fixProp;text
0;15.126368;3.8545585;5.987013;5.9307337;70.01963;sure!
1;2.7841063;0.810074;0.6494354;0.8649402;17.352097;it
2;22.777754;4.244961;6.662811;7.650203;92.111946;looks
3;12.579308;2.948613;4.8050256;4.055537;66.901245;like
4;12.448625;3.02689;4.261207;4.078158;69.260735;the
5;18.2839;3.9096353;6.7361684;6.2196283;84.42866;while
6;16.66328;4.029412;6.043424;5.810061;84.83428;loop
7;8.798467;2.6466906;2.643402;2.649651;60.68538;will
8;15.3312;4.046943;5.573905;4.9139614;88.41676;never
9;25.99117;4.8003917;7.6422534;8.755218;100.69276;conclude
10;27.138294;4.5896707;7.898994;8.942453;99.57574;because
11;17.196232;3.586671;6.163168;6.487785;69.56908;‘a*
12;7.6373196;1.9799296;3.725069;2.6785953;42.675262;is
13;18.919548;4.096534;6.347965;6.0279784;91.651215;always
14;10.309721;3.1566482;4.8825746;3.832053;63.882904;set
15;6.46263;1.7988611;2.5194104;2.035806;42.691143;to
16;7.143421;1.5579735;3.5664861;1.9160606;38.80958;1.
17;16.323154;3.9522734;4.737646;5.1291113;91.33132;perhaps
18;10.21505;2.4117754;2.7321851;3.263416;55.424664;you
19;19.34962;3.766586;5.7716994;5.9744906;87.12865;meant
20;5.544984;1.5159949;1.8041384;1.5365779;38.283615;to
21;13.221895;3.7169993;4.2737556;4.4188094;82.38171;check
22;8.87933;2.0112493;2.5096173;2.836476;47.596233;the
23;15.100136;3.68584;4.97531;4.83808;79.675316;value
24;5.692813;1.3066075;2.3089733;1.8469012;31.976587;of
25;16.03861;4.2179327;6.3399167;5.7302613;83.75408;"""b’"
26;4.7085214;1.1247967;1.4121505;1.4135512;29.414732;to
27;19.537622;4.1418633;6.677171;6.3749957;92.00337;determine
28;3.3740246;0.8947606;1.127585;0.8047975;24.545418;if
29;7.658973;1.9212377;2.022241;2.1467397;50.045067;the
30;14.4911375;3.3017468;4.80273;4.4463954;75.829124;user
31;10.037483;2.3136244;2.4617822;3.0227475;57.731216;had
32;17.62274;4.039509;7.0791903;5.512079;90.87894;entered
33;10.318512;2.8743138;5.0433097;3.214288;65.34252;their
34;8.805143;2.366169;3.5990698;2.5924757;56.157047;name
35;17.081173;3.8038464;7.8132234;5.4403934;84.24843;correctly?
36;20.269522;4.1982512;6.2272844;6.8080616;90.63297;additionally
37;5.3054514;1.3589522;1.8302412;1.6275537;33.67709;the
38;10.472103;3.2559133;4.3054767;3.751722;67.30763;print
39;16.310913;3.8219535;6.48707;5.373535;83.36018;statement
40;6.912886;2.3214412;2.7044673;2.2213023;51.28989;will
41;12.521742;3.5909927;5.210544;4.2120686;76.359055;never
42;17.307693;4.191041;7.3213453;5.849517;89.13813;execute
43;17.487186;4.0983934;6.3536353;5.718002;89.8318;because
44;4.7317305;1.1198424;1.8867431;1.4296691;30.584404;of
45;5.035179;1.2976096;1.690908;1.4670612;33.85943;the
46;21.215944;4.615751;9.428297;7.729006;91.52441;infinity
47;14.281194;3.740837;12.821857;5.3412776;71.5066;loop
48;15.250572;3.646334;24.059195;5.6088085;73.739395;above.
