;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;297.2;False;False;52.38;59.46;;;20.77;2
1;297.1;False;False;37.38;50.3;;;14.66;1
2;283.2;False;False;19.9;24.08;;;;0
3;283.1;False;False;49.64;121.42;;;16.31;2
4;292.1;False;False;45.52;52.94;;;17.79;1
5;292.2;False;False;81.46;110.84;;;17.23;2
6;274.2;False;False;86.0;100.76;;;22.2;1
7;274.1;False;False;27.0;76.91;;;;0
8;282.1;False;False;42.87;96.1;;;12.98;1
9;282.2;False;False;18.7;84.76;;;;0
10;305.3;False;False;208.32;260.76;34.82;77.51;34.82;2
11;305.1;False;True;81.93;78.25;;;26.42;3
12;278.1;False;False;74.96;76.05;;;11.22;1
13;278.2;False;False;20.01;31.33;;;;0
14;290.2;False;False;242.34;279.64;45.78;88.86;13.87;2
15;290.1;False;True;135.34;107.97;90.49;82.72;44.14;13
16;309.2;False;False;36.96;48.84;;;16.78;1
17;309.1;False;False;45.15;48.83;;;15.99;1
18;300.1;False;False;130.96;167.83;2.02;36.93;2.02;2
19;300.2;False;False;19.87;54.76;;;;0
20;313.1;False;False;40.93;47.75;;;16.13;2
21;313.2;False;True;52.57;44.71;;;13.97;1
22;280.1;False;False;45.98;53.4;;;26.95;1
23;280.3;False;False;42.5;65.31;;;20.98;1
24;293.1;False;True;29.14;20.33;;;15.57;1
25;293.2;False;False;145.42;265.42;8.63;122.15;8.63;2
26;286.2;False;True;98.57;87.25;;;14.58;1
27;286.1;False;False;38.01;41.8;;;18.81;2
28;306.2;False;False;54.46;61.77;;;16.93;1
29;306.1;False;False;25.07;47.5;;;;0
30;315.1;False;False;280.25;303.36;40.68;80.58;40.68;1
31;315.2;False;True;23.29;6.37;;;;0
32;281.2;False;True;56.85;45.99;;;21.64;1
33;281.1;False;False;31.46;43.13;;;;0
34;272.2;False;True;52.72;33.92;;;14.42;2
35;272.1;False;True;27.73;13.52;;;;0
36;303.1;False;True;22.68;17.69;;;;0
37;303.2;False;False;100.35;323.26;27.86;275.6;31.34;1
38;285.2;False;True;165.58;166.17;35.62;22.69;22.69;2
39;285.1;False;True;28.29;22.96;;;;0
40;288.2;False;False;19.86;366.7;;;;0
41;288.1;False;False;86.51;102.2;;;27.8;1
42;302.2;False;True;92.95;91.02;;;15.76;1
43;302.1;False;False;120.04;236.42;24.22;133.3;24.22;2
44;271.1;False;False;78.68;81.79;;;39.77;1
45;271.3;False;False;283.51;531.31;31.03;264.85;17.93;3
46;277.2;False;True;29.26;29.11;;;;0
47;277.1;False;False;96.21;223.22;;;27.34;1
48;299.2;False;False;57.43;98.75;;;;0
49;299.1;False;False;34.48;370.42;;;27.5;1
50;284.2;False;False;89.91;100.36;;;23.09;1
51;284.1;False;False;21.24;37.0;;;;0
52;275.1;False;True;105.89;104.95;11.73;8.64;11.27;1
53;275.2;False;False;36.85;1329.92;;;23.96;1
54;276.2;False;False;22.87;44.76;;;;0
55;276.1;False;False;96.35;103.71;;;22.02;7
56;310.2;False;False;110.2;145.86;16.0;48.06;18.42;1
57;310.1;False;False;113.29;438.21;26.75;389.89;26.75;2
58;312.1;False;False;136.29;167.76;16.97;40.53;20.2;1
59;312.2;False;False;50.6;1237.61;;;20.84;2
