;ID;x;y;duration;pupil_r;pupil_l;word;word_number;distance
2336;2338;673.0624;427.4176;0.25879;8.9534;11.9343;;;
2337;2339;445.4784;325.08928;0.21051;9.5545;11.4571;pregnancy;4.0;60.089279999999974
2338;2340;347.4176;272.9472;0.27478;9.9699;10.7603;previa;1.0;7.947200000000009
2339;2341;598.208;200.98048;0.32355;11.4192;12.7251;complication;5.0;40.01952
2340;2342;722.0096;214.00576;0.3396;12.5266;13.3114;placenta;8.0;26.99423999999999
2341;2343;769.7792;217.62048;0.30737;11.9933;13.9773;placenta;8.0;23.379520000000014
2342;2344;877.0432;206.3872;0.51733;12.826;14.7881;located;10.0;34.61279999999999
2343;2345;965.3376000000001;231.66976;0.54999;13.1405;14.2393;covers;13.0;14.330240000000003
2344;2346;990.7968;190.74048;0.4043;12.8495;14.4251;covers;13.0;55.25952000000001
2345;2347;973.5296;216.2176;0.48535;11.7501;13.8567;covers;13.0;29.782399999999996
2346;2348;872.0;213.22752;0.33972;11.3421;13.4235;located;10.0;27.77248
2347;2349;913.7408;198.26688;0.40417;12.6936;13.5988;near;11.0;47.733120000000014
2348;2350;915.6992;216.48384;0.30731;12.1349;13.9185;near;11.0;29.516160000000013
2349;2351;868.1984;216.1152;0.33942;12.1433;13.1013;located;10.0;24.884800000000013
2350;2352;974.336;193.35168;0.38837;12.7004;14.1636;covers;13.0;52.64832000000001
2351;2353;978.2528000000001;207.99488;0.24237;13.2277;12.4016;covers;13.0;38.005120000000005
2352;2354;305.024;349.58336;0.24292;12.5024;12.4899;opening,;16.0;0.0
2353;2355;321.7152;324.01408;0.38831;10.7969;12.162;opening,;16.0;21.98592000000002
2354;2356;429.5552;319.1296;0.42035;11.2282;13.2732;making;17.0;26.870400000000018
2355;2357;546.5344;261.2224;0.2912;12.8084;13.126;delivery;19.0;84.7776
2356;2358;592.0896;277.68832;0.34003;12.7124;13.3691;delivery;19.0;68.38151250581112
2357;2359;587.4688;305.14176;0.30737;11.7488;13.2195;complication;5.0;40.14175999999998
2358;2360;572.3136000000001;312.80128;0.40448;9.3097;12.3358;delivery;19.0;33.19871999999998
2359;2361;674.0864;315.53536;0.3725;11.814;13.509;As;21.0;31.464639999999974
2360;2362;551.5776000000001;315.25888;0.21014;11.5405;13.0603;delivery;19.0;30.741120000000024
2361;2363;441.2544;351.92832;0.4046;11.0884;13.0355;making;17.0;3.2543999999999755
2362;2364;744.9728;315.20768;0.30731;13.4165;14.0513;result,;23.0;30.792320000000018
2363;2365;862.1952;291.74784;0.33942;11.8383;13.2421;needs;26.0;54.324614749720965
2364;2366;909.5552;288.1024;0.48547;12.0256;14.7302;needs;26.0;57.89760000000001
2365;2367;315.2384;500.82816;0.25854;12.2959;13.3034;cesarean;32.0;30.828160000000025
2366;2368;276.224;523.02848;0.42053;12.296;13.6889;is;47.0;37.07559125773187
2367;2369;366.69440000000003;368.65024;0.21051;12.7915;13.637;opening,;16.0;1.69440000000003
2368;2370;492.672;441.68192;0.30713;12.296;13.401;vaginal;18.0;71.68191999999999
2369;2371;596.096;444.672;0.38843;11.8905;13.9599;unsafe.;20.0;79.67712846231348
2370;2372;712.192;432.51712;0.50159;12.9566;15.2;result,;23.0;62.58014986474863
2371;2373;773.3632;435.75296;0.43652;11.8905;14.1174;result,;23.0;65.89756644218052
2372;2374;847.9616;446.35136;0.40424;12.6263;15.2199;fetus;25.0;81.35136
2373;2375;916.8512;429.90592;0.3559;12.4611;14.7386;needs;26.0;64.91150123426816
2374;2376;996.8128;424.26368;0.32367;12.7915;14.685;delivered;29.0;59.26368000000002
2375;2377;702.7584;496.35328;0.19446;12.6263;15.2395;when;40.0;26.353279999999984
2376;2378;266.6496;610.14016;0.40387;11.7553;12.5993;previa;46.0;30.140160000000037
2377;2379;358.06719999999996;597.17632;0.46912;12.296;14.5365;monitor;49.0;22.176320000000032
2378;2380;435.05920000000003;556.36992;0.21057;11.5196;12.936;any;51.0;3.630080000000021
2379;2381;428.096;567.2448;0.46893;11.8938;13.1202;any;51.0;2.9039999999999964
2380;2382;501.0304;549.40672;0.22662;12.3045;13.6667;vaginal;52.0;5.59328000000005
2381;2383;561.3312;551.81312;0.27515;13.0142;13.9773;bleeding,;53.0;3.1868799999999737
2382;2384;704.4096000000001;537.41568;0.4527;11.3045;12.8726;could;55.0;17.584320000000048
2383;2385;818.24;530.31936;0.45319;12.3828;15.0988;indicate;56.0;25.457250260183287
2384;2386;888.6144;547.67616;0.25891;12.7359;13.8209;severe;59.0;12.401488608453436
2385;2387;902.8864;553.45152;0.32385;11.507;14.7391;severe;59.0;6.5484800000000405
2386;2388;988.5312;560.96768;0.48529;9.1386;11.0388;form;60.0;0.0
2387;2389;305.1136;686.34624;0.46881;9.7589;12.8007;or;64.0;6.346239999999966
2388;2390;400.3584;690.72896;0.38818;10.2096;12.187;start;66.0;10.72896000000003
2389;2391;576.192;650.25024;0.35571;9.4145;11.4741;bleeding;70.0;9.749760000000038
2390;2392;591.9872;621.1584;0.25854;8.9411;10.4928;bleeding;70.0;39.46505865192649
2391;2393;724.096;648.51968;0.43671;11.4841;11.9193;patient;73.0;12.480320000000006
2392;2394;839.3216;669.65504;0.38831;12.8258;13.5227;be;75.0;0.0
2393;2395;925.0816;668.35456;0.33984;11.712;12.9825;immediately;76.0;0.0
2394;2396;984.8703999999999;683.55072;0.46912;12.1535;10.2667;assessed;77.0;3.5507199999999557
2395;2397;359.616;778.752;0.25836;11.2239;12.4088;transferred;79.0;0.0
2396;2398;340.9792;806.92224;0.33954;11.1707;13.2244;transferred;79.0;22.922239999999988
2397;2399;458.86719999999997;793.79456;0.48584;10.0451;12.3922;healthcare;82.0;9.794560000000047
2398;2400;607.5648;764.94848;0.30701;11.2478;12.6986;capable;84.0;1.4361244202366394
2399;2401;706.6880000000001;761.5488;0.3396;12.2371;12.2689;managing;86.0;5.015827493046315
2400;2402;746.2784;771.14368;0.56622;11.6095;12.9024;managing;86.0;0.0
2401;2403;825.7792000000001;765.83936;0.48517;11.2407;11.9387;obstetrical;87.0;0.0
2402;2404;748.4032000000001;762.83904;0.42047;10.9832;11.393;managing;86.0;3.1609600000000455
2403;2405;889.0624;765.09184;0.27472;11.9457;12.9288;obstetrical;87.0;0.0
2404;2406;909.1456;772.03456;0.35614;11.9098;11.8773;emergencies.;88.0;0.0
