;number;text;x1;y1;x2;y2;fixations;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;pupil;fix_duration_avg;fix_distance
0;0;Godzilla.;40;255;168;274;[np.float64(636.0), np.float64(637.0)];0.8573;0.5177;2;14.0698;15.8735;264.5;;1;632.5045092426216;14.97;0.4287;[np.float64(4.405120000000011), np.float64(9.087999999999994)]
1;1;Canonically;190;255;352;279;[np.float64(635.0), np.float64(638.0)];0.8572;0.2103;2;14.0683;16.1369;267.0;2.5;1;506.6815747708314;15.1;0.4286;[np.float64(19.66044928072603), np.float64(0.0)]
2;2;Godzilla's;370;255;516;274;[np.float64(639.0)];0.3882;0.3882;1;16.0768;18.0592;264.5;2.5;1;440.4533834723598;17.07;0.3882;[np.float64(0.0)]
3;3;atomic;536;255;622;274;[np.float64(640.0)];0.4203;0.4203;1;15.9398;17.6457;264.5;0.0;1;423.5055331542312;16.79;0.4203;[np.float64(1.3228799999999978)]
4;4;breath;641;255;726;274;[np.float64(641.0)];0.3398;0.3398;1;8.3798;16.0838;264.5;0.0;1;423.2108020977839;12.23;0.3398;[np.float64(1.9388800000000117)]
5;5;is;746;255;771;274;[];0.0;0.0;0;;;264.5;0.0;1;436.74737665182334;;;[]
6;6;capable;791;255;892;279;[np.float64(642.0)];0.3075;0.3075;1;15.2991;16.4179;267.0;2.5;1;445.28666790310444;15.86;0.3075;[np.float64(0.0)]
7;7;of;910;256;937;274;[];0.0;0.0;0;;;265.0;2.0;1;503.0370060067645;;;[]
8;8;killing;956;255;1057;279;[np.float64(643.0)];0.3068;0.3068;1;13.5979;15.8276;267.0;2.0;1;525.3313626771675;14.71;0.3068;[np.float64(0.0)]
9;9;most;1074;256;1131;274;[np.float64(644.0)];0.3074;0.3074;1;13.8368;16.2659;265.0;2.0;1;607.5657888757806;15.05;0.3074;[np.float64(9.002880000000005)]
10;10;kaiju;1151;255;1221;279;[np.float64(645.0)];0.5016;0.5016;1;12.8209;17.2759;267.0;2.0;1;661.8095138423515;15.05;0.5016;[np.float64(10.78176000000002)]
11;11;(giant;88;354;171;378;[np.float64(646.0)];0.4045;0.4045;1;15.1404;17.7927;366.0;99.0;2;565.7215020593168;16.47;0.4045;[np.float64(0.0)]
12;12;monsters);189;354;319;378;[np.float64(647.0)];0.4043;0.4043;1;12.3593;15.8991;366.0;0.0;2;451.32352774063264;14.13;0.4043;[np.float64(0.0)]
13;13;in;341;354;366;373;[];0.0;0.0;0;;;363.5;2.5;2;423.2335245372814;;;[]
14;14;one;385;359;427;373;[np.float64(648.0)];0.356;0.356;1;13.5387;16.1211;366.0;2.5;2;386.8532252576545;14.83;0.356;[np.float64(6.4534400000000005)]
15;15;hit.;446;354;498;373;[np.float64(649.0)];0.3557;0.3557;1;14.0304;15.508;363.5;2.5;2;353.16409145360404;14.77;0.3557;[np.float64(1.026239999999973)]
16;16;Assuming;519;354;637;378;[np.float64(650.0)];0.3075;0.3075;1;14.9004;16.7079;366.0;2.5;2;319.20242400747776;15.8;0.3075;[np.float64(0.0)]
17;17;the;656;354;697;373;[];0.0;0.0;0;;;363.5;2.5;2;324.69622771484364;;;[]
18;18;T-Rex;714;355;786;373;[np.float64(651.0)];0.3237;0.3237;1;11.747;16.5096;364.0;0.5;2;332.9742408839603;14.13;0.3237;[np.float64(10.109120000000019)]
19;19;is;806;354;831;373;[];0.0;0.0;0;;;363.5;0.5;2;365.112969219459;;;[]
20;20;about;851;354;921;373;[np.float64(652.0)];0.2913;0.2913;1;14.9289;17.6228;363.5;0.0;2;387.87424803955423;16.28;0.2913;[np.float64(0.0)]
21;21;the;941;354;982;373;[];0.0;0.0;0;;;363.5;0.0;2;443.7052358179354;;;[]
22;22;same;1001;359;1057;373;[np.float64(653.0)];0.307;0.307;1;13.7532;15.8161;366.0;2.5;2;486.64799628915523;14.78;0.307;[np.float64(1.7424000000000888)]
23;23;size;1076;354;1132;373;[np.float64(654.0)];0.3236;0.3236;1;11.4266;13.9387;363.5;2.5;2;544.8772268064153;12.68;0.3236;[np.float64(4.057279999999992)]
24;24;as;1151;359;1176;373;[];0.0;0.0;0;;;366.0;2.5;2;606.7998947694781;;;[]
25;25;Godzilla,;33;453;161;475;[np.float64(655.0)];0.6149;0.6149;1;12.9886;15.403;464.0;98.0;3;526.2758190647272;14.2;0.6149;[np.float64(0.0)]
26;26;it;184;453;209;472;[];0.0;0.0;0;;;462.5;1.5;3;484.57609347990905;;;[]
27;27;would;227;453;300;472;[np.float64(656.0)];0.2754;0.2754;1;13.2788;16.0262;462.5;0.0;3;406.2077793103544;14.65;0.2754;[np.float64(0.0)]
28;28;only;318;453;375;477;[];0.0;0.0;0;;;465.0;2.5;3;343.06365819225095;;;[]
29;29;have;394;453;450;472;[np.float64(657.0)];0.3881;0.3881;1;13.3453;16.2497;462.5;2.5;3;293.40177227182795;14.8;0.3881;[np.float64(4.777600000000007)]
30;30;its;469;453;509;472;[np.float64(658.0), np.float64(659.0)];0.8086;0.3234;2;14.4832;17.1541;462.5;0.0;3;259.5643857932933;15.82;0.4043;[np.float64(0.0), np.float64(0.0)]
31;31;bite;529;453;585;472;[];0.0;0.0;0;;;462.5;0.0;3;231.36865814593298;;;[]
32;32;and;604;453;645;472;[np.float64(660.0)];0.3074;0.3074;1;15.7912;17.2587;462.5;0.0;3;225.20064000000002;16.52;0.3074;[np.float64(0.0)]
33;33;tail;664;453;719;472;[];0.0;0.0;0;;;462.5;0.0;3;226.6888580681671;;;[]
34;34;to;739;454;765;472;[np.float64(661.0)];0.3074;0.3074;1;15.2571;16.7019;463.0;0.5;3;246.7848422659901;15.98;0.3074;[np.float64(2.8902400000000057)]
35;35;attack;784;453;870;472;[np.float64(662.0)];0.2425;0.2425;1;14.2029;15.8876;462.5;0.5;3;268.34997740310996;15.05;0.2425;[np.float64(6.664746530093966)]
36;36;Godzilla;888;453;1005;472;[np.float64(663.0)];0.2585;0.2585;1;14.1945;16.0426;462.5;0.0;3;336.4249288805002;15.12;0.2585;[np.float64(7.078399999999988)]
37;37;with.;1022;453;1091;472;[np.float64(664.0)];0.2266;0.2266;1;14.0998;16.6609;462.5;0.0;3;445.10641780618;15.38;0.2266;[np.float64(13.105503331593107)]
38;38;His;1113;453;1154;472;[np.float64(665.0), np.float64(666.0)];0.7766;0.5339;2;12.4676;16.6198;462.5;0.0;3;525.6201030899119;14.54;0.3883;[np.float64(8.870400000000018), np.float64(24.045127665587437)]
39;39;hide;1174;453;1230;472;[];0.0;0.0;0;;;462.5;0.0;3;581.3254633785189;;;[]
40;40;is;19;552;44;571;[];0.0;0.0;0;;;561.5;99.0;4;607.3239989101777;;;[]
41;41;known;64;552;134;571;[np.float64(667.0)];0.5339;0.5339;1;13.5985;16.5044;561.5;0.0;4;519.6251953593567;15.05;0.5339;[np.float64(0.0)]
42;42;to;154;553;180;571;[np.float64(668.0)];0.3073;0.3073;1;12.9769;16.1312;562.0;0.5;4;475.13383509517564;14.55;0.3073;[np.float64(0.0)]
43;43;be;199;552;225;571;[];0.0;0.0;0;;;561.5;0.5;4;431.9156320998924;;;[]
44;44;more;242;557;300;571;[np.float64(669.0)];0.3074;0.3074;1;12.3702;15.4176;564.0;2.5;4;360.8545874064089;13.89;0.3074;[np.float64(0.0)]
45;45;or;318;557;345;571;[];0.0;0.0;0;;;564.0;0.0;4;319.0846051633478;;;[]
46;46;less;363;552;419;571;[np.float64(670.0)];0.2914;0.2914;1;11.8625;14.9003;561.5;2.5;4;252.81819485996175;13.38;0.2914;[np.float64(9.1216)]
47;47;immune;439;552;525;571;[np.float64(671.0)];0.2748;0.2748;1;11.4213;15.1289;561.5;0.0;4;169.44259574336553;13.28;0.2748;[np.float64(2.078399999999988)]
48;48;to;544;553;570;571;[];0.0;0.0;0;;;562.0;0.5;4;143.38669831002315;;;[]
49;49;e.g.;588;555;641;576;[np.float64(672.0)];0.3073;0.3073;1;9.8107;13.5061;565.5;3.5;4;121.20064000000002;11.66;0.3073;[np.float64(0.0)]
50;50;tank;664;552;720;571;[np.float64(673.0)];0.356;0.356;1;13.4513;15.0701;561.5;4.0;4;128.83753976326003;14.26;0.356;[np.float64(0.0)]
51;51;shells,;739;552;836;574;[np.float64(674.0), np.float64(677.0)];0.4208;0.2588;2;10.5812;15.3003;563.0;1.5;4;159.266530734645;12.94;0.2104;[np.float64(7.788799999999924), np.float64(19.516912112483347)]
52;52;so;859;557;885;571;[];0.0;0.0;0;;;564.0;1.0;4;254.43644324712926;;;[]
53;53;it;904;552;929;571;[];0.0;0.0;0;;;561.5;2.5;4;294.3583796195543;;;[]
54;54;is;949;552;974;571;[np.float64(675.0)];0.3397;0.3397;1;13.8376;14.9576;561.5;0.0;4;335.5678882912512;14.4;0.3397;[np.float64(3.7584000000000515)]
55;55;unlikely;994;552;1110;576;[np.float64(676.0)];0.2747;0.2747;1;14.1779;15.0792;564.0;2.5;4;376.0023314452314;14.63;0.2747;[np.float64(0.0)]
56;56;that;1129;552;1184;571;[];0.0;0.0;0;;;561.5;2.5;4;506.894087213739;;;[]
57;57;the;1204;552;1245;571;[];0.0;0.0;0;;;561.5;0.0;4;579.8331964041466;;;[]
58;58;T-Rex's;48;652;150;670;[np.float64(678.0)];0.5012;0.5012;1;13.1283;16.0813;661.0;99.5;5;488.82457644051567;14.6;0.5012;[np.float64(4.628076885100306)]
59;59;teeth;169;651;240;670;[];0.0;0.0;0;;;660.5;0.5;5;398.99545176887614;;;[]
60;60;would;257;651;330;670;[np.float64(679.0)];0.2424;0.2424;1;11.058;14.9213;660.5;0.0;5;309.26570215956633;12.99;0.2424;[np.float64(0.0)]
61;61;be;349;651;375;670;[];0.0;0.0;0;;;660.5;0.0;5;264.46970815624536;;;[]
62;62;able;394;651;450;670;[];0.0;0.0;0;;;660.5;0.0;5;190.02406829728065;;;[]
63;63;to;469;652;495;670;[np.float64(680.0)];0.3237;0.3237;1;11.7847;14.5548;661.0;0.5;5;145.6300056040979;13.17;0.3237;[np.float64(3.8927999999999656)]
64;64;damage;513;651;600;675;[np.float64(681.0)];0.3395;0.3395;1;12.5794;15.1634;663.0;2.0;5;44.067903651632875;13.87;0.3395;[np.float64(4.300799999999981)]
65;65;him.;619;651;671;670;[np.float64(688.0)];0.4205;0.4205;1;8.354;8.2573;660.5;2.5;5;27.20064000000002;8.31;0.4205;[np.float64(27.20064000000002)]
66;66;Ultimately,;694;651;851;675;[np.float64(682.0)];0.3557;0.3557;1;13.0531;15.2092;663.0;2.5;5;60.177624847193876;14.13;0.3557;[np.float64(0.0)]
67;67;Godzilla;873;651;990;670;[];0.0;0.0;0;;;660.5;2.5;5;236.50220999443033;;;[]
68;68;would;1007;651;1080;670;[np.float64(683.0)];0.2749;0.2749;1;13.5703;15.8898;660.5;0.0;5;369.9341640511858;14.73;0.2749;[np.float64(5.348479999999995)]
69;69;probably;1099;651;1215;675;[np.float64(684.0)];0.2752;0.2752;1;13.1331;15.4237;663.0;2.5;5;461.467132667376;14.28;0.2752;[np.float64(4.792640000000006)]
70;70;destroy;401;750;503;774;[np.float64(685.0)];0.291;0.291;1;13.7406;16.7437;762.0;99.0;6;145.02041557053127;15.24;0.291;[np.float64(2.008960000000002)]
71;71;the;522;750;563;769;[];0.0;0.0;0;;;759.5;2.5;6;91.77612397704313;;;[]
72;72;T-Rex;580;751;652;769;[np.float64(686.0)];0.2913;0.2913;1;13.8036;16.8922;760.0;0.5;6;53.79935999999998;15.35;0.2913;[np.float64(5.395199999999932)]
73;73;quite;671;750;743;774;[np.float64(687.0)];0.4531;0.4531;1;11.805;11.5967;762.0;2.0;6;62.22814260645742;11.7;0.4531;[np.float64(0.0)]
74;74;quickly.;761;750;874;774;[];0.0;0.0;0;;;762.0;0.0;6;133.79179994397867;;;[]
