;number;text;x1;y1;x2;y2
0;0;Topologically,,;40;304;244;328
1;1;a;267;309;278;323
2;2;connected;297;304;428;323
3;3;space;447;309;518;328
4;4;is;537;304;562;323
5;5;one;581;309;623;323
6;6;that;642;304;697;323
7;7;can,not;717;306;802;323
8;8;be;822;304;848;323
9;9;represented;869;304;1028;328
10;10;as;1047;309;1072;323
11;11;the;1092;304;1133;323
12;12;union;1152;304;1222;323
13;13;of;40;404;67;422
14;14;two;86;405;127;422
15;15;or;145;408;172;422
16;16;more;189;408;247;422
17;17;disjoint;265;403;381;427
18;18;and;401;403;442;422
19;19;non,-,empty;461;405;592;427
20;20;spaces,.;611;408;708;427
21;21;In;731;404;756;422
22;22;other;775;403;847;422
23;23;words,,;864;403;948;425
24;24;a;971;408;982;422
25;25;connected;1001;403;1132;422
26;26;space;1151;408;1222;427
27;27;is;34;502;59;521
28;28;not;78;504;119;521
29;29;made;137;502;194;521
30;30;up;213;507;240;526
31;31;of;258;503;284;521
32;32;multiple;302;502;419;526
33;33;separate;439;504;554;526
34;34;spaces,.;574;507;670;526
35;35;Intuitively,,;694;502;865;526
36;36;it;889;502;914;521
37;37;can;933;507;974;521
38;38;be;993;502;1019;521
39;39;thought;1038;502;1139;526
40;40;of;1158;503;1184;521
41;41;as;1203;507;1229;521
42;42;being;57;601;129;625
43;43;""",in";149;601;188;620
44;44;one;207;606;248;620
45;45;"piece,,,""";267;601;366;625
46;46;with;385;601;443;620
47;47;the;462;601;503;620
48;48;term;522;603;579;620
49;49;referring;600;601;729;625
50;50;to;747;603;773;620
51;51;the;792;601;833;620
52;52;fact;853;602;908;620
53;53;that;927;601;983;620
54;54;all;1002;601;1042;620
55;55;the;1062;601;1103;620
56;56;points;1122;601;1208;625
57;57;within;303;700;391;719
58;58;the;410;700;451;719
59;59;space;471;705;541;724
60;60;are;560;705;601;719
61;61;connected;620;700;751;719
62;62;to;770;702;796;719
63;63;each;815;700;871;719
64;64;other,.;890;700;972;719
