;x;y;duration;pupil_r;pupil_l;word;word_number
700;635.5968;493.49632;1.11633;15.9996;13.6196;;
701;159.3216;230.5024;0.24268;15.2569;15.2795;computing;1.0
702;163.3664;232.63232;0.27521;16.0096;14.619;computing;1.0
703;279.74399999999997;228.13696;0.25867;16.0172;15.202;is;2.0
704;426.8544;188.0576;0.30737;15.208;15.1204;operation;4.0
705;525.0688;208.4352;0.32336;16.0312;14.9879;running;5.0
706;454.1824;192.72704;0.37213;16.4854;15.9176;operation;4.0
707;615.8976;188.19072;0.27509;16.1975;15.2662;running;5.0
708;739.5072;211.0464;0.24255;16.1109;15.5678;large;8.0
709;918.4384;202.24;0.30725;15.6849;15.012;computer;9.0
710;1032.3072;200.30464;0.25848;15.4298;14.2013;that;11.0
711;1078.9759999999999;194.12992;0.33966;13.4875;13.858;that;11.0
712;289.5616;273.3568;0.21021;15.7333;14.0079;the;15.0
713;123.3536;307.63008;0.38794;15.4289;13.7169;remotely;13.0
714;222.2464;300.12416;0.46906;14.9659;13.8311;over;14.0
715;382.4768;296.87808;0.27515;15.8466;15.5646;internet.;16.0
716;527.2447999999999;309.88288;0.32367;14.4488;14.0442;is;18.0
717;641.6895999999999;285.48096;0.30719;14.6914;14.081;alternative;20.0
718;802.4191999999999;287.60064;0.21021;13.3666;13.4812;personal;22.0
719;873.7152000000001;273.27488;0.37183;13.1815;12.8729;personal;22.0
720;1031.5648;286.81216;0.32355;13.3014;12.9691;computing,;23.0
721;1140.0064;297.96352;0.42053;9.9172;9.8518;which;24.0
722;138.7648;412.03712;0.32336;16.0157;14.9551;computing;26.0
723;296.3712;397.50656;0.37219;13.8834;11.7221;an;28.0
724;540.1472;392.93952;0.43658;15.2268;14.6309;device;30.0
725;704.9599999999999;396.56448;0.25891;14.0511;14.462;directly.;31.0
726;816.0768;401.36704;0.48584;15.0216;14.6638;benefits;33.0
727;1028.4032;391.91552;0.3399;15.0477;14.4692;cloud;35.0
728;1073.088;397.45536;0.2912;15.0143;13.3715;computing;36.0
729;138.752;496.8448;0.24274;16.4283;14.7715;typically;37.0
730;121.85600000000001;497.72544;0.25885;15.0;14.2353;typically;37.0
731;241.8688;518.47168;0.30731;14.2842;12.7239;include;38.0
732;370.91839999999996;514.24256;0.25867;12.7618;8.6455;increased;39.0
733;610.88;503.12192;0.27466;13.2995;11.8642;power,;41.0
734;775.8335999999999;509.96224;0.56592;12.6914;12.3919;storage;42.0
735;927.8848;491.81696;0.29114;12.7969;13.0314;and;44.0
736;1027.8016;486.77888;0.45288;14.1555;13.4879;speed,;45.0
737;869.5296000000001;504.02304;0.69562;13.7358;12.9164;space,;43.0
738;1073.4336;503.21408;0.98694;14.8709;14.2147;speed,;45.0
739;1151.5904;507.27936;0.37225;12.4505;12.317;while;46.0
740;158.3104;627.65056;0.84113;13.9521;13.2028;downsides;48.0
741;331.84;613.38624;0.25867;14.4384;13.0589;typically;49.0
742;464.39680000000004;601.76384;0.29126;14.4366;12.2598;include;50.0
743;593.1392000000001;602.46016;0.46875;14.4327;13.3776;regular;52.0
744;732.9024;597.23776;0.38855;15.1304;14.1808;rather;54.0
745;915.1999999999999;591.77984;0.38806;14.743;13.8681;fixed;56.0
746;1046.4128;599.30624;0.51764;14.8106;14.3061;upfront;57.0
747;1147.5584000000001;605.44;0.38806;14.6207;13.5858;cost,;58.0
748;1146.048;583.2704;0.04871;11.0343;9.5684;cost,;58.0
749;118.4512;715.70432;0.30737;13.7349;13.7163;Limitations;60.0
750;292.8256;709.14048;0.46906;14.0882;12.0516;your;62.0
751;564.1472;696.91392;0.25891;14.4036;14.0494;connection;64.0
752;718.0032;698.65472;0.48505;14.3502;14.409;as;66.0
753;883.5712;699.83232;0.25897;14.9505;14.5528;reliability,;68.0
754;990.4895999999999;696.49408;0.35565;13.8306;13.305;reliability,;68.0
755;1138.112;698.13248;0.27509;14.4518;13.4631;speed,;70.0
756;1105.7024;687.0528;0.19397;8.2707;7.9175;and;69.0
757;166.2464;825.088;0.25885;13.8462;13.2224;as;73.0
758;283.2256;824.38144;0.37177;12.3744;11.9645;having;75.0
759;406.23359999999997;802.01728;0.40448;12.6224;11.3215;direct;76.0
760;565.5424;785.57184;0.32336;11.7946;9.411;access;77.0
761;775.7184;800.47104;0.29114;11.6786;12.742;ownership;80.0
762;994.0992;784.56832;0.4693;14.7695;13.8137;computing;83.0
763;1111.6032;787.44576;0.38824;13.6749;13.5561;computing;83.0
764;1123.6607999999999;787.1488;0.46893;14.8694;14.0135;computing;83.0
765;1142.6816;770.95936;0.25879;10.5379;9.2671;device.;84.0
