;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil;first_fix_duration
0;0;O-;35;405;58;422;[];0.0;0;;;413.5;;1;602.6871402619757;;;0.0
1;1;Black;79;403;151;422;[2977];0.7279;1;15.1211;16.6067;412.5;1.0;1;515.100650588949;0.7279;15.86;0.7279
2;2;Pawn;169;404;225;422;[2976, 2978];0.5337;2;15.1109;16.7905;413.0;0.5;1;446.97346882914474;0.2668;15.95;0.2103
3;3;O-;245;405;268;422;[2979];0.3558;1;13.8985;16.4888;413.5;0.5;1;408.3261601185484;0.3558;15.19;0.3558
4;4;White;287;403;360;422;[2980];0.7117;1;13.5918;15.2288;412.5;1.0;1;329.2838681702437;0.7117;14.41;0.7117
5;5;Pawn;379;404;435;422;[2981];0.3235;1;13.2114;15.0378;413.0;0.5;1;270.9681638812176;0.3235;14.12;0.3235
6;6;QO-;455;405;478;422;[3002];0.3234;1;12.9968;14.1713;413.5;0.5;1;241.72032814217013;0.3234;13.58;0.3234
7;7;Black;499;403;571;422;[2982, 3003];0.6797;2;12.8033;12.876;412.5;1.0;1;196.58486268570732;0.3398;12.84;0.34
8;8;Kang;589;404;646;427;[2983, 3004, 3005];2.1349;3;13.4846;13.8672;415.5;3.0;1;182.24928;0.7116;13.68;0.4203
9;9;O-;665;405;688;422;[3006];0.372;1;15.3768;15.456;413.5;2.0;1;190.33596044142158;0.372;15.42;0.372
10;10;Black;709;403;781;422;[2984, 3007];0.76;2;14.0466;15.2337;412.5;1.0;1;202.8990572603983;0.38;14.64;0.4043
11;11;Queen;798;404;870;424;[2988];0.1942;1;8.6281;15.4652;414.0;1.5;1;249.50512603383197;0.1942;12.05;0.1942
12;12;O-;890;405;913;422;[2985];0.2749;1;13.2928;13.959;413.5;0.5;1;319.7114602843608;0.2749;13.63;0.2749
13;13;Black;934;403;1006;422;[2986];0.3234;1;13.2692;13.3837;412.5;1.0;1;356.3083881094555;0.3234;13.33;0.3234
14;14;Tower;1023;404;1095;422;[];0.0;0;;;413.0;0.5;1;434.5520049857766;;;0.0
15;15;O-;1115;405;1138;422;[];0.0;0;;;413.5;0.5;1;519.0886801281246;;;0.0
16;16;Black;1159;403;1231;422;[2987];0.2429;1;13.7399;14.286;412.5;1.0;1;560.3510573177839;0.2429;14.01;0.2429
17;17;Bishop;26;502;112;526;[2989];0.356;1;13.5986;15.0413;514.0;101.5;2;525.4968814342844;0.356;14.32;0.356
18;18;O-;131;504;155;521;[];0.0;0;;;512.5;1.5;2;483.974623711986;;;0.0
19;19;Black;176;502;247;521;[2990];0.3722;1;12.9288;14.8068;511.5;1.0;2;393.874407898201;0.3722;13.87;0.3722
20;20;Horse;265;503;337;521;[];0.0;0;;;512.0;0.5;2;306.825854838145;;;0.0
21;21;O-;356;504;380;521;[2991];0.2263;1;12.203;15.3672;512.5;0.5;2;265.93058567445456;0.2263;13.79;0.2263
22;22;White;399;502;472;521;[];0.0;0;;;511.5;1.0;2;181.72696331903643;;;0.0
23;23;King;490;502;547;526;[2992, 2993, 3001];1.1163;3;13.0199;14.5816;514.0;2.5;2;118.16546194704443;0.3721;13.8;0.3237
24;24;O-;566;504;590;521;[];0.0;0;;;512.5;1.5;2;97.24988636064519;;;0.0
25;25;White;609;502;682;521;[2994];0.3881;1;13.6032;14.2374;511.5;1.0;2;88.24928;0.3881;13.92;0.3881
26;26;Queen;699;503;771;523;[2995];0.3235;1;13.0622;14.1097;513.0;1.5;2;109.91764588617423;0.3235;13.59;0.3235
27;27;O-;791;504;815;521;[];0.0;0;;;512.5;0.5;2;182.84555996019807;;;0.0
28;28;White;834;502;907;521;[];0.0;0;;;511.5;1.0;2;221.4801796937107;;;0.0
29;29;Tower;924;503;997;521;[2996, 2999];0.5984;2;13.6162;14.1955;512.0;0.5;2;306.1348167019857;0.2992;13.91;0.4044
30;30;O-;1016;504;1040;521;[2997];0.2587;1;13.7558;14.0265;512.5;0.5;2;395.12041050439086;0.2587;13.89;0.2587
31;31;White;1059;502;1132;521;[];0.0;0;;;511.5;1.0;2;437.1396916286124;;;0.0
32;32;Bishop;1151;502;1237;526;[2998];0.3718;1;13.9052;14.6639;514.0;2.5;2;526.759176471714;0.3718;14.28;0.3718
33;33;O-;537;603;560;620;[];0.0;0;;;611.5;97.5;3;70.86080000000004;;;0.0
34;34;White;579;601;652;620;[3000, 3008];1.7471;2;14.3126;15.8057;610.5;1.0;3;0.0;0.8735;15.06;0.453
35;35;Horse;671;602;742;620;[];0.0;0;;;611.0;0.5;3;40.13919999999996;;;0.0
