;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg
0;0;The;222;241;254;260;250.5;;1;[];[];0.0;0.0;0;;;140.59028073112873;;
1;1;limits;263;241;310;260;250.5;0.0;1;[];[];0.0;0.0;0;;;96.49960743991444;;
2;2;of;318;241;335;260;250.5;0.0;1;[];[];0.0;0.0;0;;;81.67284883030342;;
3;3;knowledge;342;241;436;265;253.0;2.5;1;[];[];0.0;0.0;0;;;66.01823999999999;;
4;4;is;445;242;457;260;251.0;2.0;1;[];[];0.0;0.0;0;;;99.48309522756921;;
5;5;a;465;246;473;260;253.0;2.0;1;[];[];0.0;0.0;0;;;114.38317287108977;;
6;6;topic;482;242;524;265;253.5;0.5;1;[];[];0.0;0.0;0;;;125.4430477788929;;
7;7;that;532;241;567;260;250.5;3.0;1;[];[];0.0;0.0;0;;;172.0107573265626;;
8;8;has;575;241;604;260;250.5;0.0;1;[];[];0.0;0.0;0;;;211.91965986207512;;
9;9;been;613;241;654;260;250.5;0.0;1;[];[];0.0;0.0;0;;;248.04944635305603;;
10;10;explored;662;241;738;265;253.0;2.5;1;[];[];0.0;0.0;0;;;294.1692951959086;;
11;11;by;748;241;767;265;253.0;0.0;1;[];[];0.0;0.0;0;;;378.4680401778433;;
12;12;philosophers;776;241;888;265;253.0;0.0;1;[];[];0.0;0.0;0;;;406.06813595264725;;
13;13;for;896;241;920;260;250.5;2.5;1;[];[];0.0;0.0;0;;;525.4866862595642;;
14;14;centuries.;927;242;1013;260;251.0;0.5;1;[3246.0, 3247.0];[12.408960000000008, 78.0736];0.6309;0.2588;2;7.3715;6.2236;556.2180549353442;6.8;0.3154
15;15;It’s;1023;241;1050;260;250.5;0.5;1;[3248.0];[85.49455246069425];0.097;0.097;1;8.288;6.4695;651.5476343568885;7.38;0.097
16;16;about;215;346;265;365;355.5;105.0;2;[];[];0.0;0.0;0;;;111.34690366623398;;
17;17;philosophical;273;346;387;370;358.0;2.5;2;[3240.0, 3294.0, 3301.0];[0.0, 20.624000000000024, 14.981760000000008];0.9706;0.3236;3;9.2862;8.8528;14.981760000000008;9.07;0.3235
