;number;text;x1;y1;x2;y2;fixations;fix_duration;y;diff_y;line;distance;fix_number;fix_duration_avg;pupil_l;pupil_r;pupil
0;0;As;48;454;75;472;[2831];0.4041;463.0;;1;808.3744576699092;1;0.4041;15.8225;16.3206;16.07
1;1;your;94;458;150;477;[2799];0.3879;467.5;4.5;1;733.412658612544;1;0.3879;13.0844;14.572;13.83
2;2;assistant,,;169;453;311;475;[2800, 2830];0.4529;464.0;3.5;1;574.9157167908353;2;0.2264;15.798;15.9358;15.87
3;3;I;335;454;344;472;[2832];0.2266;463.0;1.0;1;543.1317672656609;1;0.2266;16.2102;16.2409;16.23
4;4;hope;364;453;420;477;[2801, 2811, 2829];1.5039;465.0;2.0;1;467.81871682642196;3;0.5013;15.5769;15.3292;15.45
5;5;that;439;453;495;472;[2833];0.2427;462.5;2.5;1;396.4658469693449;1;0.2427;16.6457;16.5122;16.58
6;6;information;515;453;675;472;[2802, 2803, 2804, 2812, 2834];1.2449;462.5;0.0;1;229.1112913261151;5;0.249;16.7367;16.09;16.41
7;7;was;692;458;735;472;[2810];0.356;465.0;2.5;1;178.86938198898096;1;0.356;17.2674;16.3633;16.82
8;8;helpful,.;754;453;866;477;[2805, 2806, 2807, 2808, 2809, 2824, 2825, 2835];2.6687;465.0;0.0;1;105.75399289445292;8;0.3336;16.4592;16.8361;16.65
9;9;Is;890;454;915;472;[];0.0;463.0;2.0;1;111.20607813028926;0;;;;
10;10;there;934;453;1005;472;[2813, 2815, 2826, 2827, 2836, 2837];1.8604;462.5;0.5;1;124.70414833966029;6;0.3101;16.9173;16.3853;16.65
11;11;anything;1024;453;1141;477;[2814];0.259;465.0;2.5;1;181.7871189416896;1;0.259;19.6991;18.9073;19.3
12;12;else;1159;453;1215;472;[];0.0;462.5;2.5;1;303.9072960840526;0;;;;
13;13;you;341;557;382;576;[];0.0;566.5;104.0;2;493.8545549178624;0;;;;
14;14;want;400;553;457;571;[2816, 2828];0.8733;562.0;4.5;2;418.9667497703368;2;0.4366;16.0791;15.4268;15.75
15;15;to;477;553;503;571;[2838, 2840];0.6956;562.0;0.0;2;372.985539415565;2;0.3478;16.1812;16.1106;16.15
16;16;know;522;552;579;571;[2817, 2839];0.6792;561.5;0.5;2;297.02933157033493;2;0.3396;16.0862;16.1491;16.12
17;17;about;597;552;667;571;[2818];0.3398;561.5;0.0;2;209.11979679867707;1;0.3398;16.442;16.1204;16.28
18;18;Linux;687;552;757;571;[2819, 2841];0.6306;561.5;0.0;2;119.35031383754294;2;0.3153;15.9583;15.6494;15.8
19;19;or;776;557;803;571;[2842];0.3398;564.0;2.5;2;73.68563369558545;1;0.3398;15.7256;15.1374;15.43
20;20;OpenBSD,?;820;553;938;576;[2820, 2821, 2822, 2823, 2843];1.4719;564.5;0.5;2;6.2975999999999885;5;0.2944;15.9054;15.3048;15.61
