;mean;std
31;0.2404285282068055;0.1757866079620288
30;0.2100294725391168;0.17363721838258528
29;0.24547038349663902;0.18442230933258863
28;0.20939805544606005;0.17637810961904832
27;0.22709672302016048;0.16914796503682553
26;0.2667386868453187;0.1712894380853837
25;0.2580641233831042;0.1716969552138401
24;0.246409855369069;0.1752431754272168
23;0.29483233710629797;0.1696592466401547
22;0.30172031404073796;0.17359998842575391
21;0.294397443106629;0.16806897901300547
20;0.29137602500465004;0.1841373723126798
19;0.2573235305984469;0.1790778242398924
18;0.2707481503373634;0.17889731529492642
17;0.2690134187303491;0.17482681987699508
16;0.27018349144734566;0.18283738235623315
15;0.23824724277423076;0.17850874422903254
14;0.25635193027100583;0.17039131610226926
13;0.2675580574468;0.1680447426624955
12;0.25353494294441337;0.17577867789556068
11;0.2586777865578279;0.17578392097966616
10;0.23965677205704922;0.16425462038712307
9;0.254713369563501;0.1558960333311065
8;0.2846089812830852;0.1661804152763189
7;0.28131868153799955;0.1750357256859185
6;0.23130673723507195;0.17035056736793722
5;0.30987540520458834;0.16966027677843276
4;0.24843031135415017;0.1808158499275654
3;0.3250894746613141;0.16572985953385883
2;0.23343332042927853;0.19022135533679457
1;0.2763925537715153;0.1680690493004686
0;0.16892390784085942;0.19998656051429584
