;mean;std
31;0.17041594269897242;0.16111003864557968
30;0.14538117165119385;0.16411511046936822
29;0.17707897083074337;0.15056587951027828
28;0.14252897056891625;0.15071748706033897
27;0.15493824198918824;0.1580105238872572
26;0.18896372058154928;0.15682047951976819
25;0.1804139325924516;0.16392987835572823
24;0.1785207503031939;0.15839482718821826
23;0.21077500989791612;0.15517275755293547
22;0.21965672065677652;0.16502539515223555
21;0.2124154161927473;0.15199216129097953
20;0.20961523483394687;0.1580487848297039
19;0.18102426876629374;0.15681637035698634
18;0.19179487680892243;0.1561334132614415
17;0.19841257217239655;0.15770921789899348
16;0.18692454519230642;0.15460816410755815
15;0.16772884292972404;0.15836675856672444
14;0.18169678390202684;0.149762102375671
13;0.18520490658511396;0.1577207030393043
12;0.17797935213197016;0.15419891929338955
11;0.18242219952446712;0.16324209849935872
10;0.1750154513953311;0.15451098039233008
9;0.18446064619381608;0.15025079236355465
8;0.1989599217175185;0.15634516583506922
7;0.19438600284935129;0.15486559770611114
6;0.16202696771309275;0.16044260236994148
5;0.22065370368814394;0.15286244783167166
4;0.17922189464252375;0.16535127017406104
3;0.24316245515127677;0.1537552061133241
2;0.16380526487018096;0.1719775516403639
1;0.19840641520582827;0.1642539209774077
0;0.1075385009458001;0.183488299768124
