text;attention
To;0.031142419810319937
the;0.00971563893280237
best;0.008675887386520286
of;0.009119272083839438
my;0.009391480145491985
knowledge;0.012237378729770381
the;0.012886046073479127
Tyrannosaurus;0.3022926012065449
Rex;0.01970403097084032
was;0.014530520596642855
a;0.00989533612900863
theropod;0.020995950744576858
dinosaur;0.023371060128864623
that;0.010799009510297988
lived;0.016147402749633902
from;0.014618809848340741
the;0.013017681024265582
Maastrichtian;0.038996864649814125
age;0.010723945674327351
of;0.008790425679631085
the;0.008333005778849618
Upper;0.009168327763960305
Cretaceous;0.02034771121959276
period,;0.01182782963530317
68;0.01732856478930717
to;0.008410194851598841
66;0.010260800579510497
million;0.008288502720862508
years;0.008560571877937706
ago.;0.013751110234220166
Although;0.010821500238812794
some;0.009573756403813584
soft;0.009199133919145243
tissue;0.025817701993460458
and;0.010078672325531834
protein;0.015007316229136043
remains;0.010668407619454248
have;0.008623477909030695
been;0.008180649429624612
found;0.009047253730576075
there;0.009063811016947402
are;0.009568394457253514
no;0.00887898094300847
reports;0.009077381050419255
of;0.008628877748500118
any;0.008374170187748217
poison;0.015568852638203894
glands.;0.026803849973121043
So;0.01061181554371367
I;0.011254906050294769
can;0.008527489117619181
unfortunately;0.00881726912397674
not;0.008747639191824667
answer;0.008973235165628467
your;0.008240731425556522
question.;0.008516345041443338
