;mean;std
31;0.19323199110816855;0.1869100483282948
30;0.23826127688576765;0.16839857666040187
29;0.1978657375552845;0.16930010363776046
28;0.20174618718375864;0.16990666211482552
27;0.23154603896521153;0.16096937336429362
26;0.24883622029853752;0.1566182161879688
25;0.21765766474450196;0.16058588573396604
24;0.24723151048343178;0.1597834363519452
23;0.2877643597004635;0.15733639531419763
22;0.24440184419553862;0.16304569201170083
21;0.25188508733583587;0.1634583503420993
20;0.25296849800249566;0.165945161851336
19;0.2829223435873304;0.16142730387366014
18;0.2666404871670973;0.16383126183704172
17;0.2574585292239308;0.16236992401564118
16;0.26177396771067984;0.16200023424622276
15;0.24967383331654422;0.1568256424748764
14;0.24005362157456203;0.1596113152267958
13;0.22551642914459918;0.1599134211154679
12;0.23635152773089982;0.16432083117448837
11;0.21377499022947533;0.1637471882957615
10;0.21880412279138;0.1598698225307903
9;0.24496822533489088;0.1644286594133044
8;0.21136521299421043;0.1860465934798757
7;0.2129589264236152;0.1624913720716604
6;0.19562204350759718;0.1652634962948265
5;0.23366958063321583;0.15421784925153922
4;0.2651142896939564;0.16180660179048512
3;0.18047064714765435;0.17254472431895426
2;0.24550290116210957;0.16544753445264057
1;0.060075051601743486;0.1839264649709773
0;0.07865620715273872;0.18175363848652182
