;mean;std
31;0.20546603159902757;0.173313057803787
30;0.24605798470208656;0.1653548823495402
29;0.20215445735593965;0.16513323867329724
28;0.20668121715158064;0.16368440139936646
27;0.23976153985599308;0.15826477123821953
26;0.25483342152511523;0.1546035982149142
25;0.22236097402655947;0.1578311884776208
24;0.2536984211014669;0.15866275422233547
23;0.2943668001951081;0.15560697531461387
22;0.24921422365641965;0.15951470602951248
21;0.258368995256178;0.1601302414177215
20;0.25807499299313086;0.1624927968188566
19;0.2908710706041931;0.15746398305121329
18;0.27264176629976594;0.16192471516022086
17;0.26569261579339365;0.15814012093586569
16;0.26937969942374673;0.15863357696343802
15;0.2574350931722865;0.15215908355401292
14;0.24663516179006434;0.15716312535460147
13;0.2331475211109954;0.1523290527718192
12;0.24485307253796712;0.15899809340934834
11;0.2220842835883176;0.15809225974077976
10;0.22572114359216952;0.15678765502328681
9;0.25402524079433075;0.15801802020101222
8;0.22823556035918696;0.16851426283980306
7;0.22035726410774675;0.16108087128092466
6;0.20318085803281477;0.15873723741857151
5;0.23991635955898002;0.1521172848841522
4;0.27238782967461767;0.15828945370239736
3;0.18544422062724197;0.16645077270113365
2;0.25192179976436285;0.16052142212769033
1;0.06312726089672273;0.17647051577495734
0;0.08330213494520937;0.17470368368678135
