;mean;std
31;0.1800754676904469;0.20729541665494408
30;0.2261061637646736;0.19085556926715372
29;0.18462438474942278;0.19555463275722904
28;0.19799035855870392;0.1820346443393199
27;0.21286149703583798;0.19294417839289496
26;0.21314344843594754;0.2054915399006263
25;0.19649726928358632;0.20713405589288222
24;0.22529315665114844;0.19582641048491278
23;0.2734398516686788;0.20766660567864456
22;0.2291541297549064;0.18285166020224478
21;0.2420827191573379;0.19131270788943625
20;0.23999151601281624;0.1936775912230844
19;0.2727379691214961;0.1743994864793959
18;0.25437928454526054;0.17883693350852406
17;0.2424700265942764;0.19028579599273848
16;0.2434577843611627;0.17404732102291912
15;0.23646561433099111;0.1734589942805862
14;0.2195496731520865;0.1778560530113498
13;0.215595146653777;0.1801972345465297
12;0.20120388657602947;0.19394478357665765
11;0.18795323834291813;0.20822892522645378
10;0.212719063142644;0.2000370585471524
9;0.23130102489331972;0.1877579123426977
8;0.20619214224383853;0.18734560139280554
7;0.21461349810320737;0.20055132421285865
6;0.1805266359176032;0.19192425325085066
5;0.22886592069111875;0.1878904671765903
4;0.25908935700318336;0.19848691969112453
3;0.18759458198377954;0.18136142220165796
2;0.2437269035291833;0.16990492685697234
1;-0.0010304355660938247;0.20648848739119566
0;0.04646210060301265;0.19261200443868884
