text;attention
There;1.2388672343170068e-10
are;1.0029473509669223e-10
five;1.0757277941103331e-10
oceans;2.7218174847730114e-10
in;1.0418148860995876e-10
the;9.822064178215438e-11
World:;1.4604575649372039e-10
The;1.0546179599444564e-10
Pacific,;1.3849173073766207e-10
Atlantic,;1.203251226607302e-10
Indian,;1.1338317418243325e-10
Arctic,;1.1539835119144096e-10
and;1.0053764272376925e-10
Southern;1.1026547837165198e-10
Oceans.;0.9999999932464443
A;1.0984895338861717e-10
sea;1.4026656335896967e-10
is;1.0939694894705993e-10
defined;1.1100919494216963e-10
as;1.0489279675703754e-10
a;1.0506079685337408e-10
division;1.1096993860295565e-10
of;1.0057429585226661e-10
an;9.762552973393178e-11
ocean;1.0800329582081852e-10
partly;1.1028738449574625e-10
or;1.0790992167269625e-10
fully;1.0339940390808837e-10
enclosed;1.0802974349595573e-10
by;1.0273611301460337e-10
land.;1.3405804556037465e-10
As;9.969901598835145e-11
a;9.864672787004066e-11
result,;1.130941215124188e-10
all;1.0205955051723002e-10
seas;1.284616604055416e-10
are;1.0174799038594129e-10
saline,;1.3465060605603287e-10
or;9.845201583711597e-11
filled;9.967015435427063e-11
with;9.629461350271407e-11
salt;9.684164355820691e-11
water.;1.1217231699438727e-10
There;9.794570553939258e-11
are;9.826277290411132e-11
over;1.0112740183248757e-10
50;1.361287900621584e-10
seas;1.0661925277305742e-10
in;9.550631414539795e-11
the;9.470321036957147e-11
World!;1.1896453233647443e-10
Wow!;1.127858291436388e-10
Please;1.0170428803074514e-10
let;9.725143399343685e-11
me;1.0344368898961419e-10
know;9.898126593114015e-11
if;9.623173835741672e-11
I;1.0043956772649339e-10
can;9.949985759149247e-11
assist;1.0110531436744727e-10
you;9.605140866391861e-11
further;9.469671648235533e-11
