;mean;std
31;0.12911365478636877;0.2254132114706885
30;0.16983524818911877;0.22538442503116712
29;0.13930229867174154;0.2278617154614014
28;0.1297917921737833;0.22707087764813425
27;0.1711040248700741;0.18783265322785356
26;0.16998083398674685;0.22960213862629564
25;0.1639649752698402;0.20042063105751123
24;0.18347658949519927;0.2017892305870243
23;0.23107010113526882;0.20023436315342028
22;0.19846818460458232;0.21384241585092775
21;0.21271618778735366;0.1990147429755955
20;0.19760095641327605;0.20841635078214635
19;0.2254565830699652;0.1978833820934158
18;0.22278132121703673;0.1940330291486244
17;0.18385800197508112;0.23307594198513593
16;0.1900531614247433;0.20631591041038397
15;0.1730399168200397;0.20914359086829093
14;0.18099217286466715;0.19862330077561807
13;0.14831066371570922;0.21832686215620395
12;0.16622170468653802;0.20091334247351833
11;0.15580231902247904;0.19894727494347011
10;0.151015572192082;0.19839848233482904
9;0.19451879370236053;0.2057720984478161
8;0.1453815108976537;0.19153203690864126
7;0.1614272762109181;0.19852244826000562
6;0.14455040487901644;0.20098850248033248
5;0.14844005932243104;0.23393523469085495
4;0.20071837164573228;0.2086700000558823
3;0.12526455417421323;0.23534149204537463
2;0.16941903861802762;0.22970420136200673
1;-0.001802562273095241;0.23791167141972033
0;0.028890714846217896;0.23519481735394826
