;mean;std
31;0.15190581294917582;0.21048323293541377
30;0.19388132054539536;0.23542532233742042
29;0.15991395018533033;0.20799517672769485
28;0.1577367460221713;0.22300311477972756
27;0.18392646139578614;0.23215416288203647
26;0.19931188956619444;0.22678473744580277
25;0.17031568525205085;0.24022968417949958
24;0.19653858579998143;0.23439581088996217
23;0.2526987544545101;0.196484420009778
22;0.21937910428626745;0.20412680994879406
21;0.2257059229258023;0.2294799194326889
20;0.2059161966041323;0.23698409008498644
19;0.2468341460111087;0.20458702883581836
18;0.2364967469160083;0.19278896351708222
17;0.20467516669891916;0.23977864360960752
16;0.20955279709802427;0.19780684602113238
15;0.19268833312927444;0.1996415198468361
14;0.1805327226831571;0.23361256699618682
13;0.15873018896814195;0.22944607687951127
12;0.1785584612176291;0.20085124528137835
11;0.1645052844732067;0.2038935441868515
10;0.1659495904841949;0.20138598340510455
9;0.20976508112264203;0.20060847533981388
8;0.1590607884302322;0.19045720097061217
7;0.17413424751167794;0.2002041269591678
6;0.15669415377006488;0.19488405126328268
5;0.1682890840593839;0.22640440754021368
4;0.22207446961049823;0.20170935557432493
3;0.14885059378920384;0.20465588948174576
2;0.1952822980054543;0.22249507876300348
1;0.0043311053024652395;0.22088194548894322
0;0.041949378526500665;0.22562781661085465
