text;attention
You;6.354703567955378e-20
can;3.883717076763516e-20
iterate;5.704606891391299e-20
over;6.48282928039628e-20
a;4.0814817345267443e-20
pandas;1.1443162954320202e-19
dataframe;9.784287361835325e-20
using;7.772138030690507e-20
the;3.9741717811891766e-20
"“iterrows()""";1.442436910144553e-18
method.;1.0
Here's;9.632182977052117e-19
an;3.273270184641869e-20
example:;6.550424065208449e-20
***;5.639652292674035e-20
import;5.506090861602223e-20
pandas;4.81097430536473e-20
as;3.565268676317236e-20
pd;4.443296794124365e-20
df;5.557526383696598e-20
=;4.2115014742112843e-20
pd.DataFrame({'A':;5.792311850871286e-19
[1,;1.2278178032245752e-19
2,;8.688662506180422e-20
3],;1.3150399485409498e-19
'B:;1.0219034259343988e-19
[4,;8.524610229025617e-20
5,;5.315255218144371e-20
6],;6.047558843371873e-20
'C':;6.224145985127647e-20
[7,;5.68944945878158e-20
8,;3.877028078279761e-20
9]});6.595248312805902e-20
for;5.366120594099798e-20
index,;6.760179088865453e-20
row;4.6042779941977923e-20
in;4.144585465707555e-20
df.iterrows():;2.4072940385770553e-19
print(index,;9.36348825245624e-20
row['A'],;1.2022755714485075e-19
row['B'],;4.87220062334561e-20
row['C']);4.505053224637514e-20
‘°~;6.148068520202798e-20
Note;4.84271004678349e-20
that;4.576829642807641e-20
iterating;6.7795276057492e-20
over;3.775708753802501e-20
a;3.494401279884839e-20
dataframe;5.373879257727915e-20
using;3.956370508885493e-20
iterrows();1.1094759810572278e-19
can;4.515721380259544e-20
be;3.2669082181136956e-20
slow;7.724652217504014e-20
for;4.158373348970531e-20
large;4.288389161759367e-20
datasets,;5.992650115580916e-20
as;3.9504847456979804e-20
it;3.986383382163753e-20
returns;4.4868049186770614e-20
a;3.4572535716564125e-20
new;3.7557433249570076e-20
pandas;3.829398493378489e-20
series;4.3202416177433785e-20
for;3.869596603047005e-20
each;4.1603020102513277e-20
row,;5.407274303224826e-20
which;3.653866220781062e-20
can;3.2460234893901396e-20
be;3.1273868773729313e-20
memory-intensive.;1.141121797969165e-19
In;4.0156362500292596e-20
such;3.299878937231622e-20
cases,;5.010114477927178e-20
it;3.179111816873755e-20
may;3.176508984770509e-20
be;3.108024884828362e-20
more;3.141700951517645e-20
efficient;3.5873702720746565e-20
to;3.789701658393753e-20
use;3.502681453811079e-20
vectorized;4.7712290271227814e-20
operations,;4.6468126852288926e-20
or;3.597204767790932e-20
to;3.444567944614651e-20
use;3.434915444892141e-20
the;3.56837214410106e-20
"""itertuples()""";7.024727651723567e-20
method,;4.341614494981746e-20
which;3.549658482013144e-20
is;3.1334053283300266e-20
faster;3.412522716853771e-20
but;3.4138238236277125e-20
less;3.1411251330724826e-20
flexible;3.196916330134596e-20
than;3.1824603248024005e-20
iterrows().;3.339398203711993e-20
