;mean;std
31;0.2501934958686334;0.17451875985381934
30;0.20333038884777002;0.171518017569621
29;0.17281415227380278;0.19471545955973993
28;0.22019762618965885;0.18088673368701336
27;0.2187185384299288;0.16483888067351507
26;0.23116068124122735;0.17323749473970781
25;0.23960770542820267;0.1807407782358181
24;0.24570373574687357;0.1729555566797429
23;0.21915784788777143;0.17942474740152625
22;0.22894169158207975;0.17300614813262213
21;0.21730762153329897;0.18775891879735482
20;0.23843696367710465;0.17390139253007098
19;0.2543531849063212;0.17223509811336138
18;0.23961886289627354;0.17084448955487186
17;0.25679670914791297;0.1750615345868225
16;0.25500913004332315;0.17018786014793902
15;0.25178340509719244;0.17577379927109696
14;0.22970190010865416;0.17839956884259475
13;0.216047700970675;0.18409358269942883
12;0.23513363310245483;0.1781737634478704
11;0.18519060057775294;0.18249768142704503
10;0.22041888912673735;0.17428215850852488
9;0.2170828964758084;0.17983626429029134
8;0.23349141430309217;0.1711211874175986
7;0.24310195548714852;0.17399130872237628
6;0.22312186784192492;0.17187947986533317
5;0.20210571087588677;0.178743710389926
4;0.2638384035384081;0.1695801025879849
3;0.2760681423901395;0.17752268647917532
2;0.1887492352699039;0.1716685414118186
1;0.20915128390261362;0.18163085049778943
0;-0.03423423390147154;0.2076533225604594
