;mean;std
31;0.23287134496103304;0.15716349208733352
30;0.1929980785917745;0.16209401038097024
29;0.17076890452940918;0.16828789319208584
28;0.21129030143024682;0.15812201767483386
27;0.20685338680776272;0.15556262917601837
26;0.22249460705011498;0.15966779450769975
25;0.2269753947527525;0.1582060387568795
24;0.22206376874561054;0.15393999500160693
23;0.2031762146771607;0.1556088370055809
22;0.21137516000826528;0.15866395250987855
21;0.21290192508710817;0.16091109869639783
20;0.21613812275794433;0.15835942863155106
19;0.235118566339639;0.16303133626538055
18;0.21614799452869712;0.15727762934421866
17;0.23533263398035753;0.15924815653063107
16;0.23603897747518007;0.1546466888434771
15;0.2340062889764055;0.15726097215430118
14;0.21641314799811798;0.15872193295922013
13;0.20445721286548374;0.16181441581701475
12;0.2205260214159469;0.16106824578347592
11;0.17464749197950552;0.1532298649953129
10;0.21521912269672813;0.15484043196348202
9;0.20607943292069272;0.15399797132742069
8;0.21612141905694665;0.15946253078676037
7;0.2237347293741301;0.15865326807607097
6;0.20716227935356543;0.15483762605341103
5;0.18653679435369105;0.15726777894380758
4;0.23861246566811556;0.15247638709118388
3;0.24929742182774187;0.15579511183782005
2;0.1733193682192519;0.1548160256248331
1;0.19100502835368968;0.15747751998915271
0;-0.025526198308879224;0.17771563257637193
