;mean;std
31;0.2423981272637485;0.18306962500341434
30;0.18852773781278095;0.19329356543428586
29;0.1642924690391477;0.20370657809370313
28;0.20826189166519787;0.18984307162716701
27;0.19346041071457518;0.1900851227839379
26;0.22993360920978984;0.19224636725771457
25;0.22992847891489873;0.18870254371819048
24;0.22385385105879038;0.19011382467725127
23;0.2065120331963322;0.18542296463169042
22;0.20816933458406578;0.18039767215813965
21;0.21798383530156568;0.17891322982378383
20;0.2232455891121767;0.1810366316341661
19;0.2389021815743255;0.1736067328025821
18;0.22543555932174766;0.17250087658846774
17;0.24051570717425233;0.1779843060417036
16;0.24128192200262302;0.17050416787340972
15;0.238717456869549;0.17529734288178137
14;0.22472168089036407;0.17438112335974454
13;0.2061209726961988;0.1829956158784634
12;0.22133976865194688;0.17547994157528124
11;0.17492029673041695;0.1872994105821289
10;0.22332749407426122;0.1777600789843413
9;0.21278467617187014;0.18112304293753398
8;0.21935811120098986;0.18026392283692028
7;0.23090302342312266;0.18294855012294584
6;0.21490560007111129;0.176593001004268
5;0.19470436217498893;0.17978766645300012
4;0.25238194230408684;0.17634397978162136
3;0.2639787785122957;0.1846540568584627
2;0.18207958556849146;0.1708570987305329
1;0.20042035051682575;0.18226613719689463
0;-0.05052801886367141;0.21051365692066018
