;mean;std
31;0.22265817266443183;0.17474995928584425
30;0.17877346628879298;0.18853712642473347
29;0.15667423302748387;0.1941793502160161
28;0.1959000668204813;0.1772461284018602
27;0.18326242500196233;0.1772670972333278
26;0.2131717112386644;0.18439139277700212
25;0.2085661273102954;0.18326910179126887
24;0.2042934015860321;0.18078095838662742
23;0.19628852492030688;0.18357219073163952
22;0.19393106119129527;0.18007719138633044
21;0.19984116601984905;0.1751501399888518
20;0.20077356205734498;0.1780246827010393
19;0.21888486759609985;0.18034101963423815
18;0.19934501431638815;0.18118529059740435
17;0.2209147071247898;0.17847859174152114
16;0.22125815259924198;0.17386254900534165
15;0.21508584613477166;0.1761720624154988
14;0.19834805610849027;0.1797351981085189
13;0.19050176781885877;0.18479708565635217
12;0.20204212357177007;0.1761154576011387
11;0.1541967454954736;0.17816799205617226
10;0.20267571198331044;0.17985318881717874
9;0.18885162376458417;0.1818398442165456
8;0.1978320543060935;0.1778285463189375
7;0.2053336100408844;0.1766941559741569
6;0.19020435174639477;0.17370511597955945
5;0.16920193532554273;0.17322278122381624
4;0.2253318386028753;0.1752365592185534
3;0.23976025103653908;0.1772574529718696
2;0.1612820364225882;0.17319915944885267
1;0.17846429212708775;0.1807589517523499
0;-0.04385209144555034;0.19781482236471445
