;mean;std
31;0.2318374562658667;0.1516968193322099
30;0.19283702927100144;0.16091061908731097
29;0.16506610692360582;0.16825748939167148
28;0.21554593813629017;0.16120448584046385
27;0.20943926045767836;0.15300775561492522
26;0.2237555691478965;0.1510349886012712
25;0.22729066470024847;0.1601311334615234
24;0.23156282891182145;0.15415113426303664
23;0.2123609677295493;0.152640590895959
22;0.22352892014285863;0.1557909722870602
21;0.22070123127341226;0.15316437411019826
20;0.22673145210420734;0.15818395680488648
19;0.24536748733187722;0.15742205598923298
18;0.22738105968108396;0.16304971066182464
17;0.23910090516669497;0.15634148020588368
16;0.24440590902662798;0.15494436120869148
15;0.2440974971810378;0.16088223621719674
14;0.22173918797882464;0.16153925637449543
13;0.20891484960108953;0.16144493859932058
12;0.23367126891734924;0.15933164974624622
11;0.18876680171604612;0.15103787914882996
10;0.2287155194556469;0.15636042494450744
9;0.2189265400297207;0.15245998720966888
8;0.23125602667332903;0.15728127623784996
7;0.2353273539482779;0.1578207665504721
6;0.2198405248694435;0.1597743226852229
5;0.1902136573844657;0.15657673647232304
4;0.243463359327659;0.15084470284761484
3;0.25846994917194277;0.15249257781560024
2;0.18403707547997364;0.15108574702781982
1;0.18896291005949298;0.15462680986822244
0;-0.017605033705981956;0.17848077816770788
