;mean;std
31;0.22731519130742114;0.17141145938500965
30;0.17415789913640767;0.19300221934395778
29;0.15120792464892915;0.19270517717677288
28;0.19693468139616982;0.18526867665074553
27;0.18432157525281861;0.18567062355040367
26;0.20967380830154916;0.184399448401062
25;0.21308470282950615;0.18962596502393386
24;0.21896308896315467;0.18528379803027573
23;0.21034760665783261;0.17290015114721352
22;0.21242219236465545;0.17132175295752897
21;0.21409843028547934;0.165726809070686
20;0.23183399869644256;0.1787709370650548
19;0.23929587935105576;0.17011892960200836
18;0.2203942678268724;0.1790393434660409
17;0.23233577872853145;0.16806572646652548
16;0.2424268518440433;0.165292450971328
15;0.23256851447685858;0.17191754973655296
14;0.21102699462961097;0.18130588672527165
13;0.19945764805984345;0.18797528573620967
12;0.21950497027477603;0.175971165451431
11;0.17673559638189748;0.1836706224471349
10;0.21671444389044933;0.17810985778884242
9;0.2090655097585059;0.18313901896496612
8;0.22146085684888273;0.17648316631468572
7;0.2316554158608718;0.17555892231865808
6;0.20933508783212076;0.17068840926951467
5;0.18921841621824534;0.18329916263505325
4;0.24710693784277546;0.1792551489554653
3;0.2628037032964731;0.18345355990219553
2;0.17924782104295992;0.16812548259138746
1;0.19005834970776414;0.18393796333568568
0;-0.048439642770197806;0.2081893367766501
