;mean;std
31;0.19227602386593368;0.16911875176234425
30;0.15092066832909012;0.17747832023008783
29;0.12654911142722064;0.1796952018407147
28;0.17184584074116627;0.17157704072697988
27;0.1611470119106839;0.1726926680076293
26;0.18106362094027426;0.17192559302198657
25;0.17808952740042647;0.1772640516996871
24;0.1838388048085241;0.17716303294527339
23;0.1739979945937047;0.1748325282019338
22;0.17429625081648148;0.1738997468945545
21;0.17724463280440836;0.1699482253625191
20;0.18598817309654694;0.17525692100753323
19;0.19945732306802946;0.17143270617264383
18;0.17816653668618246;0.17428203728012973
17;0.194572379141122;0.1709489532572713
16;0.19458293110582803;0.16373712205582774
15;0.1924099723884687;0.17278012219451108
14;0.17141355276589657;0.17328932326438787
13;0.16434482657013974;0.1780783735514033
12;0.18040668384537464;0.17089214288919244
11;0.14108298763026805;0.1750701941996549
10;0.18149135386382378;0.17410032204464482
9;0.16993690153127747;0.17312526366149628
8;0.18242446985936156;0.17176870912436354
7;0.18765923289913888;0.17365277990813294
6;0.17166188992826342;0.16947427310910185
5;0.14964966122447307;0.17367301354753345
4;0.19932772389113274;0.17497809954739016
3;0.21524577746462992;0.175639619203018
2;0.14463359205358528;0.1701037399595534
1;0.1516790162050875;0.1813670595900192
0;-0.038947553902918604;0.1941292588038303
