;mean;std
31;0.19130651134323715;0.1687724894336196
30;0.15396104553768059;0.18188655587560412
29;0.13022544496729757;0.18613551021444072
28;0.17299001242687773;0.1726600500322119
27;0.15960319356378358;0.17079776394135116
26;0.18455527531119642;0.17618293001304533
25;0.17664331210244572;0.1782772749359441
24;0.18260356545207854;0.17787549116753937
23;0.1792893266246446;0.17888266622429905
22;0.17362100075350195;0.1735643862422705
21;0.17776592681700168;0.16990258128373123
20;0.18539623687283208;0.17681862664281994
19;0.19769032081805787;0.1729436416496688
18;0.18104309178993871;0.17833508677887877
17;0.19414504635213758;0.17063468961884434
16;0.19647629836123315;0.16859448910283723
15;0.19135762116576316;0.1715552487210583
14;0.17042735549435117;0.17217243774239263
13;0.1627690979415658;0.17977191009927418
12;0.1798729940176986;0.16934423563954568
11;0.14113342448393304;0.17424756231566832
10;0.18013105434754603;0.17428105695599136
9;0.16954174512892126;0.17228332427232268
8;0.18202287372732814;0.17104982840544705
7;0.18793609416485207;0.17338677371880812
6;0.17081721201531694;0.16874537399633607
5;0.14854119621602735;0.17473193269525952
4;0.19846504203460877;0.17477549899610426
3;0.21382953041510844;0.17534571173480754
2;0.14321505399869197;0.17080632329602236
1;0.150953459591273;0.18074315186121234
0;-0.03821437998720466;0.1953060560174077
