;mean;std
31;0.24032640185145807;0.16001380349660668
30;0.19276789999908947;0.16748517450221523
29;0.15781015446193963;0.18245236311231253
28;0.20958688389567875;0.16700642386976877
27;0.20961879434359565;0.15845577515314765
26;0.21962403882344214;0.15819836488649117
25;0.22019841684772593;0.16457464215578055
24;0.24164010541781578;0.15840937826183227
23;0.22972274480695426;0.1666661258449343
22;0.23534457226453814;0.16013546726088754
21;0.2209357099996366;0.1633341768749579
20;0.24335463459402393;0.16036013128381554
19;0.2542744230157587;0.15648116971009265
18;0.23705894385487522;0.16697215970465673
17;0.2522948590182462;0.15878075821359292
16;0.25928734013157584;0.15633008664777737
15;0.25540795624878637;0.1717734885035444
14;0.2278972232880777;0.1757832304010933
13;0.21527273121097337;0.17928808835091606
12;0.239765786395503;0.17425277931892197
11;0.1916741572848848;0.17399844812193244
10;0.22978731752292392;0.17644325272133668
9;0.2317860960741696;0.17589037611625655
8;0.23927255050682214;0.16996868599186707
7;0.24723981691923047;0.1647648185218529
6;0.23148959791981732;0.16558636417559952
5;0.20605129502185557;0.18496566200794995
4;0.26520935260015593;0.1650957565171645
3;0.28105414675258666;0.17964785485702311
2;0.19585486608177863;0.17132485416251106
1;0.20632713878272677;0.17703313780161056
0;-0.022039000544433585;0.204693295818572
