;mean;std
31;0.19063304037222986;0.14381743675090722
30;0.15607930190260563;0.14131590399144883
29;0.1302496159418324;0.14930625506955195
28;0.17511634767797882;0.1377960455150691
27;0.16916949553769106;0.14100077790196588
26;0.18479483068730454;0.1427571214063622
25;0.18330781411595437;0.14651212469489197
24;0.1883120544459315;0.14287582883665337
23;0.17991639001899595;0.14215052100725867
22;0.1871516992280793;0.13981292303086343
21;0.18056971263420937;0.13833510135732197
20;0.1877092938189243;0.141392975782406
19;0.20249697039051168;0.14460308538614117
18;0.1928529580564631;0.15206131589046273
17;0.19875503065190417;0.14466018769214628
16;0.20007566647616484;0.14112434190372972
15;0.2016821813046937;0.14575446929884237
14;0.17730781711962687;0.14429433972745132
13;0.16887632181525464;0.14107864670803094
12;0.19184652349030573;0.14782478231399385
11;0.15224403593302463;0.14725771923018005
10;0.18387283475164476;0.14195980407995676
9;0.18374606490783876;0.14667450146462774
8;0.18717297798754803;0.1428927761944264
7;0.1940405402848074;0.1402837422038498
6;0.18302761089305014;0.14523638409635908
5;0.16487569047080144;0.15474780790644552
4;0.2080413549033421;0.14824066800456032
3;0.2216422955944205;0.14983713414471453
2;0.15186843988265813;0.14967236087856184
1;0.16047185199572744;0.15219900476436318
0;-0.028354414983089438;0.16556415584739487
